DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
perp,,,,,,
DISTRIBUTION,,,,,
entity,ecosystem rewards,team,strategic sale,balancer,seed sale
t000,"82,200,000.00",-,"5,625,000.00","7,500,000.00","1,575,000.00"
t001,"82,200,000.00",-,"5,625,000.00","7,500,000.00","1,575,000.00"
t002,"82,200,000.00",-,"5,625,000.00","7,500,000.00","1,575,000.00"
t003,"82,200,000.00",-,"11,250,000.00","7,500,000.00","3,150,000.00"
t004,"82,200,000.00",-,"11,250,000.00","7,500,000.00","3,150,000.00"
t005,"82,200,000.00",-,"11,250,000.00","7,500,000.00","3,150,000.00"
t006,"82,200,000.00","661,500.00","16,875,000.00","7,500,000.00","4,725,000.00"
t007,"82,200,000.00","661,500.00","16,875,000.00","7,500,000.00","4,725,000.00"
t008,"82,200,000.00","661,500.00","16,875,000.00","7,500,000.00","4,725,000.00"
t009,"82,200,000.00","1,323,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t010,"82,200,000.00","1,323,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t011,"82,200,000.00","1,323,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t012,"82,200,000.00","1,984,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t013,"82,200,000.00","1,984,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t014,"82,200,000.00","1,984,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t015,"82,200,000.00","2,646,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t016,"82,200,000.00","2,646,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t017,"82,200,000.00","2,646,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t018,"82,200,000.00","3,307,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t019,"82,200,000.00","3,307,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t020,"82,200,000.00","3,307,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t021,"82,200,000.00","3,969,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t022,"82,200,000.00","3,969,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t023,"82,200,000.00","3,969,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t024,"82,200,000.00","4,630,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t025,"82,200,000.00","4,630,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t026,"82,200,000.00","4,630,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t027,"82,200,000.00","5,292,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t028,"82,200,000.00","5,292,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t029,"82,200,000.00","5,292,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t030,"82,200,000.00","5,953,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t031,"82,200,000.00","5,953,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t032,"82,200,000.00","5,953,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
t033,"82,200,000.00","6,615,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t034,"82,200,000.00","6,615,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t035,"82,200,000.00","6,615,000.00","22,500,000.00","7,500,000.00","6,300,000.00"
t036,"82,200,000.00","7,276,500.00","22,500,000.00","7,500,000.00","6,300,000.00"
