DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
prom,,,,,,
DISTRIBUTION,,,,,,,
entity,private sale,public sale,community incentives,reserve,team,liquidity pool,ecosystem development
t000,"1,600,000.00","85,000,000.00",nan,-,-,"1,150,000.00","250,000.00"
t001,"1,600,000.00","85,000,000.00","150,000.00",-,-,"1,150,000.00","250,000.00"
t002,"1,600,000.00","85,000,000.00","300,000.00",-,-,"1,150,000.00","250,000.00"
t003,"1,600,000.00","85,000,000.00","450,000.00",-,-,"1,150,000.00","250,000.00"
t004,"1,600,000.00","85,000,000.00","600,000.00",-,-,"1,150,000.00","250,000.00"
t005,"1,600,000.00","85,000,000.00","750,000.00",-,-,"1,150,000.00","250,000.00"
t006,"2,000,000.00","85,000,000.00","900,000.00",-,-,"1,150,000.00","500,000.00"
t007,"2,000,000.00","85,000,000.00","1,050,000.00",-,-,"1,150,000.00","500,000.00"
t008,"2,000,000.00","85,000,000.00","1,200,000.00",-,-,"1,150,000.00","500,000.00"
t009,"2,000,000.00","85,000,000.00","1,350,000.00",-,-,"1,150,000.00","500,000.00"
t010,"2,000,000.00","85,000,000.00","1,500,000.00",-,-,"1,150,000.00","500,000.00"
t011,"2,000,000.00","85,000,000.00","1,650,000.00",-,-,"1,150,000.00","500,000.00"
t012,"2,400,000.00","85,000,000.00","1,800,000.00","90,000.00","30,000.00","1,150,000.00","750,000.00"
t013,"2,400,000.00","85,000,000.00","1,950,000.00","180,000.00","60,000.00","1,150,000.00","750,000.00"
t014,"2,400,000.00","85,000,000.00","2,100,000.00","270,000.00","90,000.00","1,150,000.00","750,000.00"
t015,"2,400,000.00","85,000,000.00","2,250,000.00","360,000.00","120,000.00","1,150,000.00","750,000.00"
t016,"2,400,000.00","85,000,000.00","2,400,000.00","450,000.00","150,000.00","1,150,000.00","750,000.00"
t017,"2,400,000.00","85,000,000.00","2,550,000.00","540,000.00","180,000.00","1,150,000.00","750,000.00"
t018,"2,800,000.00","85,000,000.00","2,700,000.00","630,000.00","210,000.00","1,150,000.00","1,000,000.00"
t019,"2,800,000.00","85,000,000.00","2,850,000.00","720,000.00","240,000.00","1,150,000.00",nan
t020,"2,800,000.00","85,000,000.00","3,000,000.00","810,000.00","270,000.00","1,150,000.00",nan
t021,"2,800,000.00","85,000,000.00","3,150,000.00","900,000.00","300,000.00","1,150,000.00",nan
t022,"2,800,000.00","85,000,000.00","3,300,000.00","990,000.00","330,000.00","1,150,000.00",nan
t023,"2,800,000.00","85,000,000.00","3,450,000.00","1,080,000.00","360,000.00","1,150,000.00",nan
t024,"3,200,000.00","85,000,000.00","3,600,000.00","1,170,000.00","390,000.00","1,150,000.00",nan
t025,"3,200,000.00","85,000,000.00","3,750,000.00","1,260,000.00","420,000.00","1,150,000.00",nan
t026,"3,200,000.00","85,000,000.00","3,900,000.00","1,350,000.00","450,000.00","1,150,000.00",nan
t027,"3,200,000.00","85,000,000.00","4,050,000.00","1,440,000.00","480,000.00","1,150,000.00",nan
t028,"3,200,000.00","85,000,000.00","4,200,000.00","1,530,000.00","510,000.00","1,150,000.00",nan
t029,"3,200,000.00","85,000,000.00","4,350,000.00","1,620,000.00","540,000.00","1,150,000.00",nan
t030,"3,600,000.00","85,000,000.00","4,500,000.00","1,710,000.00","570,000.00","1,150,000.00",nan
t031,"3,600,000.00","85,000,000.00","4,650,000.00","1,800,000.00","600,000.00","1,150,000.00",nan
t032,"3,600,000.00","85,000,000.00","4,800,000.00","1,890,000.00","630,000.00","1,150,000.00",nan
t033,"3,600,000.00","85,000,000.00","4,950,000.00","1,980,000.00","660,000.00","1,150,000.00",nan
t034,"3,600,000.00","85,000,000.00","5,100,000.00","2,070,000.00","690,000.00","1,150,000.00",nan
t035,"3,600,000.00","85,000,000.00","5,250,000.00","2,160,000.00","720,000.00","1,150,000.00",nan
t036,"4,000,000.00","85,000,000.00","5,400,000.00","2,250,000.00","750,000.00","1,150,000.00",nan
