DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
pundix,,,,,,
DISTRIBUTION,,,
entity,public sale,private sale,foundation
t000,"33,292,807.00","18,404,099.00","25,848,453.00"
t001,"33,292,807.00","18,404,099.00","25,848,453.00"
t002,"33,292,807.00","18,404,099.00","25,848,453.00"
t003,"33,292,807.00","18,404,099.00","25,848,453.00"
t004,"33,292,807.00","18,404,099.00","25,848,453.00"
t005,"33,292,807.00","18,404,099.00","25,848,453.00"
t006,"33,292,807.00","18,404,099.00","25,848,453.00"
t007,"33,292,807.00","18,404,099.00","25,848,453.00"
t008,"33,292,807.00","18,404,099.00","25,848,453.00"
t009,"33,292,807.00","18,404,099.00","25,848,453.00"
t010,"33,292,807.00","18,404,099.00","25,848,453.00"
t011,"33,292,807.00","18,404,099.00","25,848,453.00"
t012,"33,292,807.00","18,404,099.00","25,848,453.00"
t013,"33,292,807.00","18,404,099.00","25,848,453.00"
t014,"33,292,807.00","18,404,099.00","25,848,453.00"
t015,"33,292,807.00","18,404,099.00","25,848,453.00"
t016,"33,292,807.00","18,404,099.00","25,848,453.00"
t017,"33,292,807.00","18,404,099.00","25,848,453.00"
t018,"33,292,807.00","18,404,099.00","25,848,453.00"
t019,"33,292,807.00","18,404,099.00","25,848,453.00"
t020,"33,292,807.00","18,404,099.00","25,848,453.00"
t021,"33,292,807.00","18,404,099.00","25,848,453.00"
t022,"33,292,807.00","18,404,099.00","25,848,453.00"
t023,"33,292,807.00","18,404,099.00","25,848,453.00"
t024,"33,292,807.00","18,404,099.00","25,848,453.00"
t025,"33,292,807.00","18,404,099.00","25,848,453.00"
t026,"33,292,807.00","18,404,099.00","25,848,453.00"
t027,"33,292,807.00","18,404,099.00","25,848,453.00"
t028,"33,292,807.00","18,404,099.00","25,848,453.00"
t029,"33,292,807.00","18,404,099.00","25,848,453.00"
t030,"33,292,807.00","18,404,099.00","25,848,453.00"
t031,"33,292,807.00","18,404,099.00","25,848,453.00"
t032,"33,292,807.00","18,404,099.00","25,848,453.00"
t033,"33,292,807.00","18,404,099.00","25,848,453.00"
t034,"33,292,807.00","18,404,099.00","25,848,453.00"
t035,"33,292,807.00","18,404,099.00","25,848,453.00"
t036,"33,292,807.00","18,404,099.00","25,848,453.00"
