DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
push,,,,,,
DISTRIBUTION,,,,,
entity,community,investors,advisors,foundation,team
t000,-,-,-,-,-
t001,"1,177,778.00",-,"97,222.00","145,833.00",-
t002,"2,355,556.00",-,"194,444.00","291,667.00",-
t003,"3,533,333.00","4,100,000.00","291,667.00","437,500.00",-
t004,"4,711,111.00","4,880,952.00","388,889.00","583,333.00",-
t005,"5,888,889.00","5,661,905.00","486,111.00","729,167.00",-
t006,"7,066,667.00","6,442,857.00","583,333.00","875,000.00",-
t007,"8,244,444.00","7,223,810.00","680,556.00","1,020,833.00",-
t008,"9,422,222.00","8,004,762.00","777,778.00","1,166,667.00",-
t009,"10,600,000.00","8,785,714.00","875,000.00","1,312,500.00","333,333.00"
t010,"11,777,778.00","9,566,667.00","972,222.00","1,458,333.00","666,667.00"
t011,"12,955,556.00","10,347,619.00","1,069,444.00","1,604,167.00","1,000,000.00"
t012,"14,133,333.00","11,128,571.00","1,166,667.00","1,750,000.00","1,333,333.00"
t013,"15,311,111.00","11,909,524.00","1,263,889.00","1,895,833.00","1,666,667.00"
t014,"16,488,889.00","12,690,476.00","1,361,111.00","2,041,667.00","2,000,000.00"
t015,"17,666,667.00","13,471,429.00","1,458,333.00","2,187,500.00","2,333,333.00"
t016,"18,844,444.00","14,252,381.00","1,555,556.00","2,333,333.00","2,666,667.00"
t017,"20,022,222.00","15,033,333.00","1,652,778.00","2,479,167.00","3,000,000.00"
t018,"21,200,000.00","15,814,286.00","1,750,000.00","2,625,000.00","3,333,333.00"
t019,"22,377,778.00","16,595,238.00","1,847,222.00","2,770,833.00","3,666,667.00"
t020,"23,555,556.00","17,376,190.00","1,944,444.00","2,916,667.00","4,000,000.00"
t021,"24,733,333.00","18,157,143.00","2,041,667.00","3,062,500.00","4,333,333.00"
t022,"25,911,111.00","18,938,095.00","2,138,889.00","3,208,333.00","4,666,667.00"
t023,"27,088,889.00","19,719,048.00","2,236,111.00","3,354,167.00","5,000,000.00"
t024,"28,266,667.00","20,500,000.00","2,333,333.00","3,500,000.00","5,333,333.00"
t025,"29,444,444.00",nan,"2,430,556.00","3,645,833.00","5,666,667.00"
t026,"30,622,222.00",nan,"2,527,778.00","3,791,667.00","6,000,000.00"
t027,"31,800,000.00",nan,"2,625,000.00","3,937,500.00","6,333,333.00"
t028,"32,977,778.00",nan,"2,722,222.00","4,083,333.00","6,666,667.00"
t029,"34,155,556.00",nan,"2,819,444.00","4,229,167.00","7,000,000.00"
t030,"35,333,333.00",nan,"2,916,667.00","4,375,000.00","7,333,333.00"
t031,"36,511,111.00",nan,"3,013,889.00","4,520,833.00","7,666,667.00"
t032,"37,688,889.00",nan,"3,111,111.00","4,666,667.00","8,000,000.00"
t033,"38,866,667.00",nan,"3,208,333.00","4,812,500.00","8,333,333.00"
t034,"40,044,444.00",nan,"3,305,556.00","4,958,333.00","8,666,667.00"
t035,"41,222,222.00",nan,"3,402,778.00","5,104,167.00","9,000,000.00"
t036,"42,400,000.00",nan,"3,500,000.00","5,250,000.00","9,333,333.00"
