DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ramp,,,,,,
DISTRIBUTION,,,,,
entity,public sale,private sale,reserve,partnership,team & advisors
t000,"180,000,000.00","2,000,000.00","450,000,000.00","200,000,000.00",-
t001,"180,000,000.00","2,000,000.00","450,000,000.00","200,000,000.00",-
t002,"180,000,000.00","2,000,000.00","450,000,000.00","200,000,000.00",-
t003,"180,000,000.00","4,000,000.00","450,000,000.00","200,000,000.00",-
t004,"180,000,000.00","4,000,000.00","450,000,000.00","200,000,000.00",-
t005,"180,000,000.00","4,000,000.00","450,000,000.00","200,000,000.00",-
t006,"180,000,000.00","6,000,000.00","450,000,000.00","200,000,000.00","26,666,667.00"
t007,"180,000,000.00","6,000,000.00","450,000,000.00","200,000,000.00","26,666,667.00"
t008,"180,000,000.00","6,000,000.00","450,000,000.00","200,000,000.00","26,666,667.00"
t009,"180,000,000.00","8,000,000.00","450,000,000.00","200,000,000.00","26,666,667.00"
t010,"180,000,000.00","8,000,000.00","450,000,000.00","200,000,000.00","26,666,667.00"
t011,"180,000,000.00","8,000,000.00","450,000,000.00","200,000,000.00","26,666,667.00"
t012,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","53,333,334.00"
t013,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","53,333,334.00"
t014,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","53,333,334.00"
t015,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","53,333,334.00"
t016,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","53,333,334.00"
t017,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","53,333,334.00"
t018,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","80,000,001.00"
t019,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","80,000,001.00"
t020,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","80,000,001.00"
t021,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","80,000,001.00"
t022,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","80,000,001.00"
t023,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","80,000,001.00"
t024,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","106,666,668.00"
t025,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","106,666,668.00"
t026,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","106,666,668.00"
t027,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","106,666,668.00"
t028,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","106,666,668.00"
t029,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","106,666,668.00"
t030,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","133,333,335.00"
t031,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","133,333,335.00"
t032,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","133,333,335.00"
t033,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","133,333,335.00"
t034,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","133,333,335.00"
t035,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","133,333,335.00"
t036,"180,000,000.00","10,000,000.00","450,000,000.00","200,000,000.00","160,000,000.00"
