DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
reef,,,,,,
DISTRIBUTION,,,,,,,,
entity,seed sale,strategic sale,private sale,public sale,team,ecosystem development,liquidity rewards,foundation
t000,"285,600,000.00","416,500,000.00","336,000,000.00","600,000,000.00","64,000,000.00","124,000,000.00","99,866,667.00","140,560,000.00"
t001,"285,600,000.00","416,500,000.00","336,000,000.00","600,000,000.00","116,250,000.00","163,266,667.00","199,733,333.00","196,784,000.00"
t002,"285,600,000.00","416,500,000.00","336,000,000.00","600,000,000.00","168,500,000.00","202,533,333.00","299,600,000.00","253,008,000.00"
t003,"571,200,000.00","728,875,000.00","532,000,000.00","600,000,000.00","220,750,000.00","241,800,000.00","399,466,667.00","309,232,000.00"
t004,"571,200,000.00","728,875,000.00","532,000,000.00","600,000,000.00","273,000,000.00","281,066,667.00","499,333,333.00","365,456,000.00"
t005,"571,200,000.00","728,875,000.00","532,000,000.00","600,000,000.00","325,250,000.00","320,333,333.00","599,200,000.00","421,680,000.00"
t006,"856,800,000.00","1,041,250,000.00","728,000,000.00","600,000,000.00","377,500,000.00","359,600,000.00","699,066,667.00","477,904,000.00"
t007,"856,800,000.00","1,041,250,000.00","728,000,000.00","600,000,000.00","429,750,000.00","398,866,667.00","798,933,333.00","534,128,000.00"
t008,"856,800,000.00","1,041,250,000.00","728,000,000.00","600,000,000.00","482,000,000.00","438,133,333.00","898,800,000.00","590,352,000.00"
t009,"1,142,400,000.00","1,353,625,000.00","924,000,000.00","600,000,000.00","534,250,000.00","477,400,000.00","998,666,667.00","646,576,000.00"
t010,"1,142,400,000.00","1,353,625,000.00","924,000,000.00","600,000,000.00","586,500,000.00","516,666,667.00","1,098,533,333.00","702,800,000.00"
t011,"1,142,400,000.00","1,353,625,000.00","924,000,000.00","600,000,000.00","638,750,000.00","555,933,333.00","1,198,400,000.00","759,024,000.00"
t012,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","691,000,000.00","595,200,000.00","1,298,266,667.00","815,248,000.00"
t013,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","743,250,000.00","634,466,667.00","1,398,133,333.00","871,472,000.00"
t014,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","795,500,000.00","673,733,333.00","1,498,000,000.00","927,696,000.00"
t015,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","847,750,000.00","713,000,000.00","1,597,866,667.00","983,920,000.00"
t016,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","900,000,000.00","752,266,667.00","1,697,733,333.00","1,040,144,000.00"
t017,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","952,250,000.00","791,533,333.00","1,797,600,000.00","1,096,368,000.00"
t018,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,004,500,000.00","830,800,000.00","1,897,466,667.00","1,152,592,000.00"
t019,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,056,750,000.00","870,066,667.00","1,997,333,333.00","1,208,816,000.00"
t020,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,109,000,000.00","909,333,333.00","2,097,200,000.00","1,265,040,000.00"
t021,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,161,250,000.00","948,600,000.00","2,197,066,667.00","1,321,264,000.00"
t022,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,213,500,000.00","987,866,667.00","2,296,933,333.00","1,377,488,000.00"
t023,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,265,750,000.00","1,027,133,333.00","2,396,800,000.00","1,433,712,000.00"
t024,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,318,000,000.00","1,066,400,000.00","2,496,666,667.00","1,489,936,000.00"
t025,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,370,250,000.00","1,105,666,667.00","2,596,533,333.00","1,546,160,000.00"
t026,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,422,500,000.00","1,144,933,333.00","2,696,400,000.00","1,602,384,000.00"
t027,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,474,750,000.00","1,184,200,000.00","2,796,266,667.00","1,658,608,000.00"
t028,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,527,000,000.00","1,223,466,667.00","2,896,133,333.00","1,714,832,000.00"
t029,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,579,250,000.00","1,262,733,333.00","2,996,000,000.00","1,771,056,000.00"
t030,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,631,500,000.00","1,302,000,000.00","3,095,866,667.00","1,827,280,000.00"
t031,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,683,750,000.00","1,341,266,667.00","3,195,733,333.00","1,883,504,000.00"
t032,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,736,000,000.00","1,380,533,333.00","3,295,600,000.00","1,939,728,000.00"
t033,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,788,250,000.00","1,419,800,000.00","3,395,466,667.00","1,995,952,000.00"
t034,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,840,500,000.00","1,459,066,667.00","3,495,333,333.00","2,052,176,000.00"
t035,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,892,750,000.00","1,498,333,333.00","3,595,200,000.00","2,108,400,000.00"
t036,"1,428,000,000.00","1,666,000,000.00","1,120,000,000.00","600,000,000.00","1,945,000,000.00","1,537,600,000.00","3,695,066,667.00","2,164,624,000.00"
