DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
ren,,,,,,
DISTRIBUTION,,,,,
entity,private sale,team,reserve,community,public sale
t000,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t001,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t002,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t003,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t004,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t005,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t006,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t007,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t008,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t009,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t010,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t011,"566,000,000.00",-,"99,000,000.00","50,000,000.00","86,000,000.00"
t012,"566,000,000.00","49,750,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t013,"566,000,000.00","49,750,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t014,"566,000,000.00","49,750,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t015,"566,000,000.00","49,750,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t016,"566,000,000.00","99,500,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t017,"566,000,000.00","99,500,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t018,"566,000,000.00","99,500,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t019,"566,000,000.00","99,500,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t020,"566,000,000.00","149,250,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t021,"566,000,000.00","149,250,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t022,"566,000,000.00","149,250,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t023,"566,000,000.00","149,250,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t024,"566,000,000.00","199,000,000.00","99,000,000.00","50,000,000.00","86,000,000.00"
t025,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan
