DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
req,,,,,,
DISTRIBUTION,,,,
entity,public sale,backers,development fund,team & advisors
t000,"499,993,119.00","199,997,248.00","149,997,936.00",-
t001,"499,993,119.00","199,997,248.00","149,997,936.00","6,249,914.00"
t002,"499,993,119.00","199,997,248.00","149,997,936.00","12,499,828.00"
t003,"499,993,119.00","199,997,248.00","149,997,936.00","18,749,742.00"
t004,"499,993,119.00","199,997,248.00","149,997,936.00","24,999,656.00"
t005,"499,993,119.00","199,997,248.00","149,997,936.00","31,249,570.00"
t006,"499,993,119.00","199,997,248.00","149,997,936.00","37,499,484.00"
t007,"499,993,119.00","199,997,248.00","149,997,936.00","43,749,398.00"
t008,"499,993,119.00","199,997,248.00","149,997,936.00","49,999,312.00"
t009,"499,993,119.00","199,997,248.00","149,997,936.00","56,249,226.00"
t010,"499,993,119.00","199,997,248.00","149,997,936.00","62,499,140.00"
t011,"499,993,119.00","199,997,248.00","149,997,936.00","68,749,054.00"
t012,"499,993,119.00","199,997,248.00","149,997,936.00","74,998,968.00"
t013,"499,993,119.00","199,997,248.00","149,997,936.00","81,248,882.00"
t014,"499,993,119.00","199,997,248.00","149,997,936.00","87,498,796.00"
t015,"499,993,119.00","199,997,248.00","149,997,936.00","93,748,710.00"
t016,"499,993,119.00","199,997,248.00","149,997,936.00","99,998,624.00"
t017,"499,993,119.00","199,997,248.00","149,997,936.00","106,248,538.00"
t018,"499,993,119.00","199,997,248.00","149,997,936.00","112,498,452.00"
t019,"499,993,119.00","199,997,248.00","149,997,936.00","118,748,366.00"
t020,"499,993,119.00","199,997,248.00","149,997,936.00","124,998,280.00"
t021,"499,993,119.00","199,997,248.00","149,997,936.00","131,248,194.00"
t022,"499,993,119.00","199,997,248.00","149,997,936.00","137,498,108.00"
t023,"499,993,119.00","199,997,248.00","149,997,936.00","143,748,022.00"
t024,"499,993,119.00","199,997,248.00","149,997,936.00","149,997,936.00"
t025,nan,nan,nan,nan
t026,nan,nan,nan,nan
t027,nan,nan,nan,nan
t028,nan,nan,nan,nan
t029,nan,nan,nan,nan
t030,nan,nan,nan,nan
t031,nan,nan,nan,nan
t032,nan,nan,nan,nan
t033,nan,nan,nan,nan
t034,nan,nan,nan,nan
t035,nan,nan,nan,nan
t036,nan,nan,nan,nan
