DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
rly,,,,,,
DISTRIBUTION,,,,,,
entity,seed investors,team,advisors,side chain operations,community rewards,reserve
t000,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00",-
t001,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","31,328,125.00"
t002,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","62,656,250.00"
t003,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","93,984,375.00"
t004,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","125,312,500.00"
t005,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","156,640,625.00"
t006,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","187,968,750.00"
t007,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","219,296,875.00"
t008,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","250,625,000.00"
t009,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","281,953,125.00"
t010,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","313,281,250.00"
t011,-,-,"25,500,000.00","150,000,000.00","7,467,000,000.00","344,609,375.00"
t012,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","375,937,500.00"
t013,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","407,265,625.00"
t014,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","438,593,750.00"
t015,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","469,921,875.00"
t016,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","501,250,000.00"
t017,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","532,578,125.00"
t018,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","563,906,250.00"
t019,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","595,234,375.00"
t020,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","626,562,500.00"
t021,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","657,890,625.00"
t022,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","689,218,750.00"
t023,"564,375,000.00","523,125,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","720,546,875.00"
t024,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","751,875,000.00"
t025,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","783,203,125.00"
t026,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","814,531,250.00"
t027,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","845,859,375.00"
t028,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","877,187,500.00"
t029,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","908,515,625.00"
t030,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","939,843,750.00"
t031,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","971,171,875.00"
t032,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","1,002,500,000.00"
t033,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","1,033,828,125.00"
t034,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","1,065,156,250.00"
t035,"1,128,750,000.00","1,046,250,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","1,096,484,375.00"
t036,"1,693,125,000.00","1,569,375,000.00","25,500,000.00","150,000,000.00","7,467,000,000.00","1,127,812,500.00"
