DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
rsr,,,,,,
DISTRIBUTION,,,,
entity,circulating supply,investors & partners,team & advisors,reserve
t000,"18,300,000,000.00",-,-,-
t001,"18,300,000,000.00","2,583,333,333.00","2,800,000,000.00",-
t002,"18,300,000,000.00","5,166,666,667.00","5,600,000,000.00",-
t003,"18,300,000,000.00","7,750,000,000.00","8,400,000,000.00",-
t004,"18,300,000,000.00","10,333,333,333.00","11,200,000,000.00",-
t005,"18,300,000,000.00","12,916,666,667.00","14,000,000,000.00",-
t006,"18,300,000,000.00","15,500,000,000.00","16,800,000,000.00",-
t007,nan,nan,nan,nan
t008,nan,nan,nan,nan
t009,nan,nan,nan,nan
t010,nan,nan,nan,nan
t011,nan,nan,nan,nan
t012,nan,nan,nan,nan
t013,nan,nan,nan,nan
t014,nan,nan,nan,nan
t015,nan,nan,nan,nan
t016,nan,nan,nan,nan
t017,nan,nan,nan,nan
t018,nan,nan,nan,nan
t019,nan,nan,nan,nan
t020,nan,nan,nan,nan
t021,nan,nan,nan,nan
t022,nan,nan,nan,nan
t023,nan,nan,nan,nan
t024,nan,nan,nan,nan
t025,nan,nan,nan,nan
t026,nan,nan,nan,nan
t027,nan,nan,nan,nan
t028,nan,nan,nan,nan
t029,nan,nan,nan,nan
t030,nan,nan,nan,nan
t031,nan,nan,nan,nan
t032,nan,nan,nan,nan
t033,nan,nan,nan,nan
t034,nan,nan,nan,nan
t035,nan,nan,nan,nan
t036,nan,nan,nan,nan
