DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
sand,,,,,,
DISTRIBUTION,,,,,,,
entity,seed sale,strategic sale,launchpad sale,foundation,reserve,team,advisors
t000,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t001,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t002,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t003,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t004,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t005,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t006,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t007,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t008,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t009,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t010,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t011,-,-,"360,000,000.00",-,"774,600,000.00",-,-
t012,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t013,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t014,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t015,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t016,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t017,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t018,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t019,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t020,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t021,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t022,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t023,"103,055,555.00","24,000,000.00","360,000,000.00","72,000,000.00","774,600,000.00","114,000,000.00","60,000,000.00"
t024,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t025,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t026,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t027,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t028,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t029,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t030,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t031,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t032,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t033,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t034,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t035,"206,111,110.00","48,000,000.00","360,000,000.00","144,000,000.00","774,600,000.00","228,000,000.00","120,000,000.00"
t036,"309,166,665.00","72,000,000.00","360,000,000.00","216,000,000.00","774,600,000.00","342,000,000.00","180,000,000.00"
