DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
skl,,,,,,
DISTRIBUTION,,,,,
entity,public sale,private sale,reserve,team,founder
t000,"13,500,000,000.00","6,500,000,000.00",-,"277,777,778.00","277,777,778.00"
t001,"13,500,000,000.00","6,500,000,000.00",-,"277,777,778.00","277,777,778.00"
t002,"13,500,000,000.00","6,500,000,000.00",-,"555,555,556.00","555,555,556.00"
t003,"13,500,000,000.00","6,500,000,000.00",-,"833,333,334.00","833,333,334.00"
t004,"13,500,000,000.00","6,500,000,000.00",-,"1,111,111,112.00","1,111,111,112.00"
t005,"13,500,000,000.00","6,500,000,000.00",-,"1,388,888,890.00","1,388,888,890.00"
t006,"13,500,000,000.00","6,500,000,000.00",-,"1,666,666,668.00","1,666,666,668.00"
t007,"13,500,000,000.00","6,500,000,000.00",-,"1,944,444,446.00","1,944,444,446.00"
t008,"13,500,000,000.00","6,500,000,000.00",-,"2,222,222,224.00","2,222,222,224.00"
t009,"13,500,000,000.00","6,500,000,000.00","416,667.00","2,500,000,002.00","2,500,000,002.00"
t010,"13,500,000,000.00","6,500,000,000.00","833,334.00","2,777,777,780.00","2,777,777,780.00"
t011,"13,500,000,000.00","6,500,000,000.00","1,250,001.00","3,055,555,558.00","3,055,555,558.00"
t012,"13,500,000,000.00","6,500,000,000.00","1,666,668.00","3,333,333,336.00","3,333,333,336.00"
t013,"13,500,000,000.00","6,500,000,000.00","2,083,335.00","3,611,111,114.00","3,611,111,114.00"
t014,"13,500,000,000.00","6,500,000,000.00","2,500,002.00","3,888,888,892.00","3,888,888,892.00"
t015,"13,500,000,000.00","6,500,000,000.00","2,916,669.00","4,166,666,670.00","4,166,666,670.00"
t016,"13,500,000,000.00","6,500,000,000.00","3,333,336.00","4,444,444,448.00","4,444,444,448.00"
t017,"13,500,000,000.00","6,500,000,000.00","3,750,003.00","4,722,222,226.00","4,722,222,226.00"
t018,"13,500,000,000.00","6,500,000,000.00","4,166,670.00","5,000,000,004.00","5,000,000,004.00"
t019,"13,500,000,000.00","6,500,000,000.00","4,583,337.00","5,277,777,782.00","5,277,777,782.00"
t020,"13,500,000,000.00","6,500,000,000.00","5,000,004.00","5,555,555,560.00","5,555,555,560.00"
t021,"13,500,000,000.00","6,500,000,000.00","5,416,671.00","5,833,333,338.00","5,833,333,338.00"
t022,"13,500,000,000.00","6,500,000,000.00","5,833,338.00","6,111,111,116.00","6,111,111,116.00"
t023,"13,500,000,000.00","6,500,000,000.00","6,250,005.00","6,388,888,894.00","6,388,888,894.00"
t024,"13,500,000,000.00","6,500,000,000.00","6,666,672.00","6,666,666,672.00","6,666,666,672.00"
t025,"13,500,000,000.00","6,500,000,000.00","7,083,339.00","6,944,444,450.00","6,944,444,450.00"
t026,"13,500,000,000.00","6,500,000,000.00","7,500,006.00","7,222,222,228.00","7,222,222,228.00"
t027,"13,500,000,000.00","6,500,000,000.00","7,916,673.00","7,500,000,006.00","7,500,000,006.00"
t028,"13,500,000,000.00","6,500,000,000.00","8,333,340.00","7,777,777,784.00","7,777,777,784.00"
t029,"13,500,000,000.00","6,500,000,000.00","8,750,007.00","8,055,555,562.00","8,055,555,562.00"
t030,"13,500,000,000.00","6,500,000,000.00","9,166,674.00","8,333,333,340.00","8,333,333,340.00"
t031,"13,500,000,000.00","6,500,000,000.00","9,583,341.00","8,611,111,118.00","8,611,111,118.00"
t032,"13,500,000,000.00","6,500,000,000.00","10,000,008.00","8,888,888,896.00","8,888,888,896.00"
t033,"13,500,000,000.00","6,500,000,000.00","10,416,675.00","9,166,666,674.00","9,166,666,674.00"
t034,"13,500,000,000.00","6,500,000,000.00","10,833,342.00","9,444,444,452.00","9,444,444,452.00"
t035,"13,500,000,000.00","6,500,000,000.00","11,250,009.00","9,722,222,230.00","9,722,222,230.00"
t036,"13,500,000,000.00","6,500,000,000.00","11,666,676.00","10,000,000,008.00","10,000,000,008.00"
