DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
snt,,,,,,
DISTRIBUTION,,,,
entity,public contributors,status genesis holders,core developers,reserve
t000,"2,789,996,772.00","680,487,018.00",-,-
t001,"2,789,996,772.00","680,487,018.00",-,-
t002,"2,789,996,772.00","680,487,018.00",-,-
t003,"2,789,996,772.00","680,487,018.00",-,-
t004,"2,789,996,772.00","680,487,018.00",-,-
t005,"2,789,996,772.00","680,487,018.00",-,-
t006,"2,789,996,772.00","680,487,018.00","340,243,509.00",-
t007,"2,789,996,772.00","680,487,018.00","340,243,509.00",-
t008,"2,789,996,772.00","680,487,018.00","340,243,509.00",-
t009,"2,789,996,772.00","680,487,018.00","340,243,509.00",-
t010,"2,789,996,772.00","680,487,018.00","340,243,509.00",-
t011,"2,789,996,772.00","680,487,018.00","340,243,509.00",-
t012,"2,789,996,772.00","680,487,018.00","680,487,018.00","1,973,412,351.00"
t013,"2,789,996,772.00","680,487,018.00","680,487,018.00","1,973,412,351.00"
t014,"2,789,996,772.00","680,487,018.00","680,487,018.00","1,973,412,351.00"
t015,"2,789,996,772.00","680,487,018.00","680,487,018.00","1,973,412,351.00"
t016,"2,789,996,772.00","680,487,018.00","680,487,018.00","1,973,412,351.00"
t017,"2,789,996,772.00","680,487,018.00","680,487,018.00","1,973,412,351.00"
t018,"2,789,996,772.00","680,487,018.00","1,020,730,526.00","1,973,412,351.00"
t019,"2,789,996,772.00","680,487,018.00","1,020,730,526.00","1,973,412,351.00"
t020,"2,789,996,772.00","680,487,018.00","1,020,730,526.00","1,973,412,351.00"
t021,"2,789,996,772.00","680,487,018.00","1,020,730,526.00","1,973,412,351.00"
t022,"2,789,996,772.00","680,487,018.00","1,020,730,526.00","1,973,412,351.00"
t023,"2,789,996,772.00","680,487,018.00","1,020,730,526.00","1,973,412,351.00"
t024,"2,789,996,772.00","680,487,018.00","1,360,974,035.00","1,973,412,351.00"
t025,"2,789,996,772.00","680,487,018.00","1,360,974,035.00","1,973,412,351.00"
t026,"2,789,996,772.00","680,487,018.00","1,360,974,035.00","1,973,412,351.00"
t027,"2,789,996,772.00","680,487,018.00","1,360,974,035.00","1,973,412,351.00"
t028,"2,789,996,772.00","680,487,018.00","1,360,974,035.00","1,973,412,351.00"
t029,"2,789,996,772.00","680,487,018.00","1,360,974,035.00","1,973,412,351.00"
t030,nan,nan,nan,nan
t031,nan,nan,nan,nan
t032,nan,nan,nan,nan
t033,nan,nan,nan,nan
t034,nan,nan,nan,nan
t035,nan,nan,nan,nan
t036,nan,nan,nan,nan
