DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
snx,,,,,,
DISTRIBUTION,,,,,
entity,public sale,bounties & marketing,partnership incentives,foundation,team
t000,"60,000,000.00","3,000,000.00","5,000,000.00",-,-
t001,"60,000,000.00","3,000,000.00","5,000,000.00",-,-
t002,"60,000,000.00","3,000,000.00","5,000,000.00",-,-
t003,"60,000,000.00","3,000,000.00","5,000,000.00","3,000,000.00","2,500,000.00"
t004,"60,000,000.00","3,000,000.00","5,000,000.00","3,000,000.00","2,500,000.00"
t005,"60,000,000.00","3,000,000.00","5,000,000.00","3,000,000.00","2,500,000.00"
t006,"60,000,000.00","3,000,000.00","5,000,000.00","6,000,000.00","5,000,000.00"
t007,"60,000,000.00","3,000,000.00","5,000,000.00","6,000,000.00","5,000,000.00"
t008,"60,000,000.00","3,000,000.00","5,000,000.00","6,000,000.00","5,000,000.00"
t009,"60,000,000.00","3,000,000.00","5,000,000.00","9,000,000.00","7,500,000.00"
t010,"60,000,000.00","3,000,000.00","5,000,000.00","9,000,000.00","7,500,000.00"
t011,"60,000,000.00","3,000,000.00","5,000,000.00","9,000,000.00","7,500,000.00"
t012,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","10,000,000.00"
t013,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","10,000,000.00"
t014,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","10,000,000.00"
t015,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","12,500,000.00"
t016,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","12,500,000.00"
t017,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","12,500,000.00"
t018,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","15,000,000.00"
t019,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","15,000,000.00"
t020,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","15,000,000.00"
t021,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","17,500,000.00"
t022,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","17,500,000.00"
t023,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","17,500,000.00"
t024,"60,000,000.00","3,000,000.00","5,000,000.00","12,000,000.00","20,000,000.00"
t025,nan,nan,nan,nan,nan
t026,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan
