DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
spell,,,,,,
DISTRIBUTION,,,
entity,liquidity incentives,team,public sale
t000,"132,300,000,000.00",-,"14,700,000,000.00"
t001,"132,300,000,000.00","2,625,000,000.00","14,700,000,000.00"
t002,"132,300,000,000.00","5,250,000,000.00","14,700,000,000.00"
t003,"132,300,000,000.00","7,875,000,000.00","14,700,000,000.00"
t004,"132,300,000,000.00","10,500,000,000.00","14,700,000,000.00"
t005,"132,300,000,000.00","13,125,000,000.00","14,700,000,000.00"
t006,"132,300,000,000.00","15,750,000,000.00","14,700,000,000.00"
t007,"132,300,000,000.00","18,375,000,000.00","14,700,000,000.00"
t008,"132,300,000,000.00","21,000,000,000.00","14,700,000,000.00"
t009,"132,300,000,000.00","23,625,000,000.00","14,700,000,000.00"
t010,"132,300,000,000.00","26,250,000,000.00","14,700,000,000.00"
t011,"132,300,000,000.00","28,875,000,000.00","14,700,000,000.00"
t012,"132,300,000,000.00","31,500,000,000.00","14,700,000,000.00"
t013,"132,300,000,000.00","32,812,500,000.00","14,700,000,000.00"
t014,"132,300,000,000.00","34,125,000,000.00","14,700,000,000.00"
t015,"132,300,000,000.00","35,437,500,000.00","14,700,000,000.00"
t016,"132,300,000,000.00","36,750,000,000.00","14,700,000,000.00"
t017,"132,300,000,000.00","38,062,500,000.00","14,700,000,000.00"
t018,"132,300,000,000.00","39,375,000,000.00","14,700,000,000.00"
t019,"132,300,000,000.00","40,687,500,000.00","14,700,000,000.00"
t020,"132,300,000,000.00","42,000,000,000.00","14,700,000,000.00"
t021,"132,300,000,000.00","43,312,500,000.00","14,700,000,000.00"
t022,"132,300,000,000.00","44,625,000,000.00","14,700,000,000.00"
t023,"132,300,000,000.00","45,937,500,000.00","14,700,000,000.00"
t024,"132,300,000,000.00","47,250,000,000.00","14,700,000,000.00"
t025,"132,300,000,000.00","47,906,250,000.00","14,700,000,000.00"
t026,"132,300,000,000.00","48,562,500,000.00","14,700,000,000.00"
t027,"132,300,000,000.00","49,218,750,000.00","14,700,000,000.00"
t028,"132,300,000,000.00","49,875,000,000.00","14,700,000,000.00"
t029,"132,300,000,000.00","50,531,250,000.00","14,700,000,000.00"
t030,"132,300,000,000.00","51,187,500,000.00","14,700,000,000.00"
t031,"132,300,000,000.00","51,843,750,000.00","14,700,000,000.00"
t032,"132,300,000,000.00","52,500,000,000.00","14,700,000,000.00"
t033,"132,300,000,000.00","53,156,250,000.00","14,700,000,000.00"
t034,"132,300,000,000.00","53,812,500,000.00","14,700,000,000.00"
t035,"132,300,000,000.00","54,468,750,000.00","14,700,000,000.00"
t036,"132,300,000,000.00","55,125,000,000.00","14,700,000,000.00"
