DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
srm,,,,,,
DISTRIBUTION,,,,,
entity,ecosystem fund,collaborators fund,proyect contributors,team,pre-sale
t000,"44,000,000.00",-,-,-,"6,000,000.00"
t001,"44,000,000.00",-,-,-,"6,000,000.00"
t002,"44,000,000.00",-,-,-,"6,000,000.00"
t003,"44,000,000.00",-,-,-,"6,000,000.00"
t004,"44,000,000.00",-,-,-,"6,000,000.00"
t005,"44,000,000.00",-,-,-,"6,000,000.00"
t006,"44,000,000.00",-,-,-,"6,000,000.00"
t007,"44,000,000.00",-,-,-,"6,000,000.00"
t008,"44,000,000.00",-,-,-,"6,000,000.00"
t009,"44,000,000.00",-,-,-,"6,000,000.00"
t010,"44,000,000.00",-,-,-,"6,000,000.00"
t011,"44,000,000.00",-,-,-,"6,000,000.00"
t012,"44,000,000.00",-,-,-,"6,000,000.00"
t013,"80,888,889.00","37,500,000.00","30,555,556.00","27,777,778.00","11,472,222.00"
t014,"117,777,778.00","75,000,000.00","61,111,112.00","55,555,556.00","16,944,444.00"
t015,"154,666,667.00","112,500,000.00","91,666,668.00","83,333,334.00","22,416,666.00"
t016,"191,555,556.00","150,000,000.00","122,222,224.00","111,111,112.00","27,888,888.00"
t017,"228,444,445.00","187,500,000.00","152,777,780.00","138,888,890.00","33,361,110.00"
t018,"265,333,334.00","225,000,000.00","183,333,336.00","166,666,668.00","38,833,332.00"
t019,"302,222,223.00","262,500,000.00","213,888,892.00","194,444,446.00","44,305,554.00"
t020,"339,111,112.00","300,000,000.00","244,444,448.00","222,222,224.00","49,777,776.00"
t021,"376,000,001.00","337,500,000.00","275,000,004.00","250,000,002.00","55,249,998.00"
t022,"412,888,890.00","375,000,000.00","305,555,560.00","277,777,780.00","60,722,220.00"
t023,"449,777,779.00","412,500,000.00","336,111,116.00","305,555,558.00","66,194,442.00"
t024,"486,666,668.00","450,000,000.00","366,666,672.00","333,333,336.00","71,666,664.00"
t025,"523,555,557.00","487,500,000.00","397,222,228.00","361,111,114.00","77,138,886.00"
t026,"560,444,446.00","525,000,000.00","427,777,784.00","388,888,892.00","82,611,108.00"
t027,"597,333,335.00","562,500,000.00","458,333,340.00","416,666,670.00","88,083,330.00"
t028,"634,222,224.00","600,000,000.00","488,888,896.00","444,444,448.00","93,555,552.00"
t029,"671,111,113.00","637,500,000.00","519,444,452.00","472,222,226.00","99,027,774.00"
t030,"708,000,002.00","675,000,000.00","550,000,008.00","500,000,004.00","104,499,996.00"
t031,"744,888,891.00","712,500,000.00","580,555,564.00","527,777,782.00","109,972,218.00"
t032,"781,777,780.00","750,000,000.00","611,111,120.00","555,555,560.00","115,444,440.00"
t033,"818,666,669.00","787,500,000.00","641,666,676.00","583,333,338.00","120,916,662.00"
t034,"855,555,558.00","825,000,000.00","672,222,232.00","611,111,116.00","126,388,884.00"
t035,"892,444,447.00","862,500,000.00","702,777,788.00","638,888,894.00","131,861,106.00"
t036,"929,333,336.00","900,000,000.00","733,333,344.00","666,666,672.00","137,333,328.00"
