DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
step,,,,,,
DISTRIBUTION,,,,,,
entity,airdrop,team,reserve,pre-sale,community,lp farming
t000,"5,000,000.00",-,"57,495,135.00",-,"232,398,073.00","92,507,486.00"
t001,"5,000,000.00",-,"57,495,135.00",-,"232,398,073.00","92,507,486.00"
t002,"5,000,000.00",-,"57,495,135.00",-,"232,398,073.00","92,507,486.00"
t003,"5,000,000.00",-,"57,495,135.00",-,"232,398,073.00","92,507,486.00"
t004,"5,000,000.00",-,"57,495,135.00",-,"232,398,073.00","92,507,486.00"
t005,"5,000,000.00",-,"57,495,135.00",-,"232,398,073.00","92,507,486.00"
t006,"5,000,000.00",-,"57,495,135.00",-,"232,398,073.00","92,507,486.00"
t007,"5,000,000.00","31,249,989.00","57,495,135.00",-,"232,398,073.00","92,507,486.00"
t008,"5,000,000.00","31,249,989.00","57,495,135.00",-,"232,398,073.00","92,507,486.00"
t009,"5,000,000.00","31,249,989.00","57,495,135.00",-,"232,398,073.00","92,507,486.00"
t010,"5,000,000.00","31,249,989.00","57,495,135.00",-,"232,398,073.00","92,507,486.00"
t011,"5,000,000.00","31,249,989.00","57,495,135.00",-,"232,398,073.00","92,507,486.00"
t012,"5,000,000.00","31,249,989.00","57,495,135.00",-,"232,398,073.00","92,507,486.00"
t013,"5,000,000.00","62,499,978.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t014,"5,000,000.00","62,499,978.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t015,"5,000,000.00","62,499,978.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t016,"5,000,000.00","62,499,978.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t017,"5,000,000.00","62,499,978.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t018,"5,000,000.00","62,499,978.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t019,"5,000,000.00","93,749,966.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t020,"5,000,000.00","93,749,966.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t021,"5,000,000.00","93,749,966.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t022,"5,000,000.00","93,749,966.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t023,"5,000,000.00","93,749,966.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t024,"5,000,000.00","93,749,966.00","57,495,135.00","58,899,988.00","232,398,073.00","92,507,486.00"
t025,"5,000,000.00","124,999,955.00","57,495,135.00","117,799,976.00","232,398,073.00","92,507,486.00"
t026,nan,nan,nan,nan,nan,nan
t027,nan,nan,nan,nan,nan,nan
t028,nan,nan,nan,nan,nan,nan
t029,nan,nan,nan,nan,nan,nan
t030,nan,nan,nan,nan,nan,nan
t031,nan,nan,nan,nan,nan,nan
t032,nan,nan,nan,nan,nan,nan
t033,nan,nan,nan,nan,nan,nan
t034,nan,nan,nan,nan,nan,nan
t035,nan,nan,nan,nan,nan,nan
t036,nan,nan,nan,nan,nan,nan
