DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
storj,,,,,,
DISTRIBUTION,,,
entity,TOKEN SALES,STORJ LABS,RESERVE
t000,"29,210,000","107,920,000",0
t001,"57,770,000","107,920,000",0
t002,"61,710,000","107,920,000",0
t003,"61,710,000","107,920,000",0
t004,"61,710,000","107,920,000",0
t005,"61,710,000","107,920,000",0
t006,"72,080,000","107,920,000",0
t007,"72,080,000","107,920,000",0
t008,"72,080,000","107,920,000",0
t009,"72,080,000","107,920,000",0
t010,"72,080,000","107,920,000",0
t011,"72,080,000","107,920,000",0
t012,"72,080,000","107,920,000",0
t013,"72,080,000","107,920,000",0
t014,"72,080,000","107,920,000",0
t015,"72,080,000","107,920,000",0
t016,"72,080,000","107,920,000",0
t017,"72,080,000","107,920,000",0
t018,"72,080,000","107,920,000",0
t019,"72,080,000","107,920,000",0
t020,"72,080,000","107,920,000",0
t021,"72,080,000","107,920,000",0
t022,"72,080,000","107,920,000",0
t023,"72,080,000","107,920,000",0
t024,"72,080,000","107,920,000",0
t025,"72,080,000","107,920,000","30,625,000"
t026,"72,080,000","107,920,000","30,625,000"
t027,"72,080,000","107,920,000","30,625,000"
t028,"72,080,000","107,920,000","61,250,000"
t029,"72,080,000","107,920,000","61,250,000"
t030,"72,080,000","107,920,000","61,250,000"
t031,"72,080,000","107,920,000","91,875,000"
t032,"72,080,000","107,920,000","91,875,000"
t033,"72,080,000","107,920,000","91,875,000"
t034,"72,080,000","107,920,000","122,500,000"
t035,"72,080,000","107,920,000","122,500,000"
t036,"72,080,000","107,920,000","122,500,000"
