DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
sushi,,,,,,
DISTRIBUTION,,
entity,LIQUIDITY MINING,VESTED REWARDS
t000,"18,900,000",0
t001,"121,186,760",0
t002,"127,045,760",0
t003,"132,085,760",0
t004,"136,642,760",0
t005,"140,548,760",0
t006,"143,488,760",0
t007,"146,092,760",0
t008,"151,762,760","49,812,000"
t009,"155,668,760","49,812,000"
t010,"159,184,160","49,812,000"
t011,"162,562,459","49,812,000"
t012,"165,702,883","49,812,000"
t013,"168,530,323","49,812,000"
t014,"171,244,993","49,812,000"
t015,"173,683,093","49,812,000"
t016,"176,032,552","49,812,000"
t017,"178,217,959","49,812,000"
t018,"180,052,519","49,812,000"
t019,"181,941,070","49,812,000"
t020,"183,642,070","49,812,000"
t021,"185,276,731","49,812,000"
t022,"186,747,151","49,812,000"
t023,"188,161,123","49,812,000"
t024,"189,475,492","49,812,000"
t025,"190,658,632","49,812,000"
t026,"191,795,278","49,812,000"
t027,"192,817,768","49,812,000"
t028,"193,800,127","49,812,000"
t029,"194,714,131","49,812,000"
t030,"195,481,471","49,812,000"
t031,"196,077,136","49,812,000"
t032,"196,787,776","49,812,000"
t033,"197,471,326","49,812,000"
t034,"198,076,126","49,812,000"
t035,"198,667,885","49,812,000"
t036,"199,216,678","49,812,000"
