DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
sxp,,,,,,
DISTRIBUTION,,,,,
entity,Private sale,public sale,team,reserve,founder
t000,13.48,0,0.2,0,0
t001,13.48,0,0.4,0,0
t002,13.48,0,0.6,0,0
t003,13.48,0,0.8,0,0
t004,13.48,0,1,0,0
t005,13.48,0,1.2,0,0
t006,13.48,6.52,1.4,0,0
t007,13.48,6.52,1.6,0,0
t008,13.48,6.52,1.8,0,0
t009,13.48,6.52,2,0,0
t010,13.48,6.52,2.2,0.4,0
t011,13.48,6.52,2.4,0.8,0
t012,13.48,6.52,2.6,1.2,3.33
t013,13.48,6.52,2.8,1.6,3.33
t014,13.48,6.52,3,2,3.33
t015,13.48,6.52,3.2,2.4,3.33
t016,13.48,6.52,3.4,2.8,3.33
t017,13.48,6.52,3.6,3.2,3.33
t018,13.48,6.52,3.8,3.6,3.33
t019,13.48,6.52,4,4,3.33
t020,13.48,6.52,4.2,4.4,3.33
t021,13.48,6.52,4.4,4.8,3.33
t022,13.48,6.52,4.6,5.2,3.33
t023,13.48,6.52,4.8,5.6,3.33
t024,13.48,6.52,5,6,6.67
t025,13.48,6.52,5.2,6.4,6.67
t026,13.48,6.52,5.4,6.8,6.67
t027,13.48,6.52,5.6,7.2,6.67
t028,13.48,6.52,5.8,7.6,6.67
t029,13.48,6.52,6,8,6.67
t030,13.48,6.52,6.2,8.4,6.67
t031,13.48,6.52,6.4,8.8,6.67
t032,13.48,6.52,6.6,9.2,6.67
t033,13.48,6.52,6.8,9.6,6.67
t034,13.48,6.52,7,10,6.67
t035,13.48,6.52,7.2,10.4,6.67
t036,13.48,6.52,7.4,10.8,10
