DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
tlm,,,,,,
DISTRIBUTION,,,,,,,,,,,,,,
entity,SEED SALE,PRESALE,LAUNCHPOOL,EXTERNAL PROTOCOL DEVELOPMENT,MARKETING,ALIEN WORDLS FOUNDATION,ADVISORS,TEAM,GOVERNANCE,LIQUIDITY PROVISION,STAKING REWARDS,SECURITY AUDIOTS,ECOSYSTEM GRANTS,PARTICIPATION REWARDS
t000,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.42
t001,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.82
t002,0.73,0.08,1.5,0.24,1.95,2.09,0.11,0,0.3,3,0.15,0.4,0.43,1.21
t003,1.1,0.16,1.5,0.24,2.07,2.09,0.22,0,0.3,3,0.29,0.4,0.43,1.59
t004,1.47,0.24,1.5,0.24,2.19,2.09,0.33,0,0.3,3,0.44,0.4,0.43,1.97
t005,1.84,0.32,1.5,0.45,2.32,2.68,0.44,0,0.6,3,0.58,0.4,0.86,2.35
t006,2.22,0.47,1.5,0.45,2.44,2.68,0.56,0,0.6,3,0.73,0.4,0.86,2.72
t007,2.59,0.61,1.5,0.45,2.56,2.68,0.67,0,0.6,3,0.88,0.4,0.86,3.09
t008,2.96,0.75,1.5,0.67,2.68,3.26,0.78,1.25,0.9,3,1.02,0.4,1.29,3.45
t009,3.33,0.89,1.5,0.67,2.8,3.26,0.89,1.25,0.9,3,1.17,0.4,1.29,3.82
t010,3.71,1.04,1.5,0.67,2.92,3.26,1,1.25,0.9,3,1.31,0.4,1.29,4.18
t011,4.08,1.18,1.5,0.88,3.04,3.84,1.11,2.5,1.2,3,1.46,0.4,1.72,4.53
t012,4.45,1.32,1.5,0.88,3.16,3.84,1.22,2.5,1.2,3,1.6,0.4,1.72,4.89
t013,4.83,1.47,1.5,0.88,3.29,3.84,1.33,2.5,1.2,3,1.75,0.4,1.72,5.24
t014,5.2,1.61,1.5,1.09,3.41,4.42,1.44,3.75,1.5,3,1.75,0.4,2.15,5.59
t015,5.57,1.75,1.5,1.09,3.53,4.42,1.56,3.75,1.5,3,1.75,0.4,2.15,5.93
t016,5.94,1.9,1.5,1.09,3.65,4.42,1.67,3.75,1.5,3,1.75,0.4,2.15,6.28
t017,6.32,2.04,1.5,1.3,3.77,5,1.78,5,1.8,3,1.75,0.4,2.58,6.62
t018,6.69,2.18,1.5,1.3,3.89,5,1.89,5,1.8,3,1.75,0.4,2.58,6.96
t019,7.06,2.32,1.5,1.3,4.01,5,2,5,2,3,1.75,0.4,2.58,7.29
t020,7.06,2.47,1.5,1.52,4.14,5.59,2,6.25,2,3,1.75,0.4,3.01,7.62
t021,7.06,2.61,1.5,1.52,4.26,5.59,2,6.25,2,3,1.75,0.4,3.01,7.95
t022,7.06,2.75,1.5,1.52,4.38,5.59,2,6.25,2,3,1.75,0.4,3.01,8.28
t023,7.06,2.9,1.5,1.73,4.5,6.17,2,7.5,2,3,1.75,0.4,3.44,8.61
t024,7.06,3.04,1.5,1.73,4.62,6.17,2,7.5,2,3,1.75,0.4,3.44,8.87
t025,7.06,3.18,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,3.44,9.12
t026,7.06,3.25,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,3.87,9.38
t027,7.06,3.31,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,3.87,9.63
t028,7.06,3.37,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,3.87,9.89
t029,7.06,3.43,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,4.3,10.14
t030,7.06,3.43,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,4.3,10.4
t031,7.06,3.43,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,4.3,10.66
t032,7.06,3.43,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,4.73,10.91
t033,7.06,3.43,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,4.73,11.17
t034,7.06,3.43,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,4.73,11.42
t035,7.06,3.43,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,5.16,11.68
t036,7.06,3.43,1.5,1.8,4.74,6.75,2,7.5,2,3,1.75,0.4,5.16,11.86
