DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
tol,,,,,,
DISTRIBUTION,,,,,,
entity,token sale,founders,tolar development,proof of stake network bootstrapping,tolar developers,advisors
t000,-,-,-,-,-,-
t001,"103,528,767.00",-,-,"1,971,977.00",-,-
t002,"207,057,534.00",-,-,"3,943,953.00",-,-
t003,"310,586,301.00",-,-,"5,915,930.00",-,-
t004,"310,586,301.00",-,-,"7,887,906.00",-,-
t005,"310,586,301.00",-,-,"9,859,883.00",-,-
t006,"310,586,301.00",-,-,"11,831,859.00",-,-
t007,"310,586,301.00",-,-,"13,803,836.00",-,-
t008,"310,586,301.00",-,-,"15,775,812.00",-,-
t009,"310,586,301.00",-,-,"17,747,789.00",-,-
t010,"310,586,301.00",-,-,"19,719,765.00",-,-
t011,"310,586,301.00",-,-,"21,691,742.00",-,-
t012,"310,586,301.00",-,"283,964,618.00","23,663,718.00",-,-
t013,"310,586,301.00",-,"283,964,618.00","25,635,695.00",-,-
t014,"310,586,301.00",-,"283,964,618.00","27,607,671.00",-,-
t015,"310,586,301.00",-,"283,964,618.00","29,579,648.00",-,-
t016,"310,586,301.00",-,"283,964,618.00","31,551,624.00",-,-
t017,"310,586,301.00",-,"283,964,618.00","33,523,601.00",-,-
t018,"310,586,301.00",-,"283,964,618.00","35,495,577.00",-,-
t019,"310,586,301.00",-,"283,964,618.00","37,467,554.00",-,-
t020,"310,586,301.00",-,"283,964,618.00","39,439,530.00",-,-
t021,"310,586,301.00",-,"283,964,618.00","41,411,507.00",-,-
t022,"310,586,301.00",-,"283,964,618.00","43,383,483.00",-,-
t023,"310,586,301.00",-,"283,964,618.00","45,355,460.00",-,-
t024,"310,586,301.00",-,"283,964,618.00","47,327,436.00","22,184,736.00","22,184,736.00"
t025,"310,586,301.00",-,"283,964,618.00","49,299,413.00","22,184,736.00","22,184,736.00"
t026,"310,586,301.00",-,"283,964,618.00","51,271,389.00","22,184,736.00","22,184,736.00"
t027,"310,586,301.00",-,"283,964,618.00","53,243,366.00","22,184,736.00","22,184,736.00"
t028,"310,586,301.00",-,"283,964,618.00","55,215,342.00","22,184,736.00","22,184,736.00"
t029,"310,586,301.00",-,"283,964,618.00","57,187,319.00","22,184,736.00","22,184,736.00"
t030,"310,586,301.00",-,"283,964,618.00","59,159,295.00","22,184,736.00","22,184,736.00"
t031,"310,586,301.00",-,"283,964,618.00","61,131,272.00","22,184,736.00","22,184,736.00"
t032,"310,586,301.00",-,"283,964,618.00","63,103,248.00","22,184,736.00","22,184,736.00"
t033,"310,586,301.00",-,"283,964,618.00","65,075,225.00","22,184,736.00","22,184,736.00"
t034,"310,586,301.00",-,"283,964,618.00","67,047,201.00","22,184,736.00","22,184,736.00"
t035,"310,586,301.00",-,"283,964,618.00","69,019,178.00","22,184,736.00","22,184,736.00"
t036,"310,586,301.00","177,477,886.00","283,964,618.00","70,991,154.00","22,184,736.00","22,184,736.00"
