DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
tru,,,,,,
DISTRIBUTION,,,,,
entity,FUTURE TEAM,COMPANY/FOUNDATION,TEAM,PRESALE,INCENTIVE
t000,"64,800,000","54,000,000","33,300,000","48,150,000",0
t001,"64,800,000","54,000,000","33,300,000","48,150,000",0
t002,"64,800,000","54,000,000","33,300,000","48,150,000","9,360,000"
t003,"64,800,000","54,000,000","66,600,000","96,300,000","18,720,000"
t004,"64,800,000","54,000,000","66,600,000","96,300,000","28,080,000"
t005,"64,800,000","54,000,000","66,600,000","96,300,000","37,440,000"
t006,"64,800,000","54,000,000","99,900,000","144,450,000","46,800,000"
t007,"64,800,000","54,000,000","99,900,000","144,450,000","56,160,000"
t008,"64,800,000","54,000,000","99,900,000","144,450,000","65,520,000"
t009,"64,800,000","54,000,000","133,200,000","192,600,000","74,880,000"
t010,"64,800,000","54,000,000","133,200,000","192,600,000","84,240,000"
t011,"64,800,000","54,000,000","133,200,000","192,600,000","93,600,000"
t012,"64,800,000","108,000,000","166,500,000","240,750,000","102,960,000"
t013,"64,800,000","108,000,000","166,500,000","240,750,000","112,320,000"
t014,"64,800,000","108,000,000","166,500,000","240,750,000","121,680,000"
t015,"64,800,000","108,000,000","199,800,000","288,900,000","131,040,000"
t016,"64,800,000","108,000,000","199,800,000","288,900,000","140,400,000"
t017,"64,800,000","108,000,000","199,800,000","288,900,000","149,760,000"
t018,"64,800,000","108,000,000","233,100,000","337,050,000","159,120,000"
t019,"64,800,000","108,000,000","233,100,000","337,050,000","168,480,000"
t020,"64,800,000","108,000,000","233,100,000","337,050,000","177,840,000"
t021,"64,800,000","108,000,000","266,400,000","385,200,000","187,200,000"
t022,"64,800,000","108,000,000","266,400,000","385,200,000","196,560,000"
t023,"64,800,000","108,000,000","266,400,000","385,200,000","205,920,000"
t024,"64,800,000","162,000,000","266,400,000","385,200,000","215,280,000"
t025,"64,800,000","162,000,000","266,400,000","385,200,000","224,640,000"
t026,"64,800,000","162,000,000","266,400,000","385,200,000","234,000,000"
t027,"64,800,000","162,000,000","266,400,000","385,200,000","243,360,000"
t028,"64,800,000","162,000,000","266,400,000","385,200,000","252,720,000"
t029,"64,800,000","162,000,000","266,400,000","385,200,000","262,080,000"
t030,"64,800,000","162,000,000","266,400,000","385,200,000","271,440,000"
t031,"64,800,000","162,000,000","266,400,000","385,200,000","280,800,000"
t032,"64,800,000","162,000,000","266,400,000","385,200,000","290,160,000"
t033,"64,800,000","162,000,000","266,400,000","385,200,000","299,520,000"
t034,"64,800,000","162,000,000","266,400,000","385,200,000","308,880,000"
t035,"64,800,000","162,000,000","266,400,000","385,200,000","318,240,000"
t036,"64,800,000","162,000,000","266,400,000","385,200,000","327,600,000"
