DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
trx,,,,,,
DISTRIBUTION,,,
entity,public sale,private sale,team
t000,"40,000,000,000.00","25,750,000,000.00",-
t001,"40,000,000,000.00","25,750,000,000.00",-
t002,"40,000,000,000.00","25,750,000,000.00",-
t003,"40,000,000,000.00","25,750,000,000.00",-
t004,"40,000,000,000.00","25,750,000,000.00",-
t005,"40,000,000,000.00","25,750,000,000.00",-
t006,"40,000,000,000.00","25,750,000,000.00",-
t007,"40,000,000,000.00","25,750,000,000.00",-
t008,"40,000,000,000.00","25,750,000,000.00",-
t009,"40,000,000,000.00","25,750,000,000.00",-
t010,"40,000,000,000.00","25,750,000,000.00",-
t011,"40,000,000,000.00","25,750,000,000.00",-
t012,"40,000,000,000.00","25,750,000,000.00",-
t013,"40,000,000,000.00","25,750,000,000.00",-
t014,"40,000,000,000.00","25,750,000,000.00",-
t015,"40,000,000,000.00","25,750,000,000.00",-
t016,"40,000,000,000.00","25,750,000,000.00",-
t017,"40,000,000,000.00","25,750,000,000.00",-
t018,"40,000,000,000.00","25,750,000,000.00",-
t019,"40,000,000,000.00","25,750,000,000.00",-
t020,"40,000,000,000.00","25,750,000,000.00",-
t021,"40,000,000,000.00","25,750,000,000.00",-
t022,"40,000,000,000.00","25,750,000,000.00",-
t023,"40,000,000,000.00","25,750,000,000.00",-
t024,"40,000,000,000.00","25,750,000,000.00","34,250,000,000.00"
t025,nan,nan,nan
t026,nan,nan,nan
t027,nan,nan,nan
t028,nan,nan,nan
t029,nan,nan,nan
t030,nan,nan,nan
t031,nan,nan,nan
t032,nan,nan,nan
t033,nan,nan,nan
t034,nan,nan,nan
t035,nan,nan,nan
t036,nan,nan,nan
