DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
uma,,,,,,
DISTRIBUTION,,,,
entity,initial uniswap listing,future token sale,developers,"founders, contributors and investors"
t000,"1,267,368.00","9,188,417.00","22,178,939.00","1,280,570.00"
t001,"1,267,368.00","9,188,417.00","22,178,939.00","2,561,139.00"
t002,"1,267,368.00","9,188,417.00","22,178,939.00","3,841,709.00"
t003,"1,267,368.00","9,188,417.00","22,178,939.00","5,122,279.00"
t004,"1,267,368.00","9,188,417.00","22,178,939.00","6,402,848.00"
t005,"1,267,368.00","9,188,417.00","22,178,939.00","7,683,418.00"
t006,"1,267,368.00","9,188,417.00","22,178,939.00","8,963,988.00"
t007,"1,267,368.00","9,188,417.00","22,178,939.00","10,244,557.00"
t008,"1,267,368.00","9,188,417.00","22,178,939.00","11,525,127.00"
t009,"1,267,368.00","9,188,417.00","22,178,939.00","12,805,697.00"
t010,"1,267,368.00","9,188,417.00","22,178,939.00","14,086,266.00"
t011,"1,267,368.00","9,188,417.00","22,178,939.00","15,366,836.00"
t012,"1,267,368.00","9,188,417.00","22,178,939.00","16,647,406.00"
t013,"1,267,368.00","9,188,417.00","22,178,939.00","17,927,975.00"
t014,"1,267,368.00","9,188,417.00","22,178,939.00","19,208,545.00"
t015,"1,267,368.00","9,188,417.00","22,178,939.00","20,489,115.00"
t016,"1,267,368.00","9,188,417.00","22,178,939.00","21,769,684.00"
t017,"1,267,368.00","9,188,417.00","22,178,939.00","23,050,254.00"
t018,"1,267,368.00","9,188,417.00","22,178,939.00","24,330,824.00"
t019,"1,267,368.00","9,188,417.00","22,178,939.00","25,611,393.00"
t020,"1,267,368.00","9,188,417.00","22,178,939.00","26,891,963.00"
t021,"1,267,368.00","9,188,417.00","22,178,939.00","28,172,533.00"
t022,"1,267,368.00","9,188,417.00","22,178,939.00","29,453,102.00"
t023,"1,267,368.00","9,188,417.00","22,178,939.00","30,733,672.00"
t024,nan,nan,nan,nan
t025,nan,nan,nan,nan
t026,nan,nan,nan,nan
t027,nan,nan,nan,nan
t028,nan,nan,nan,nan
t029,nan,nan,nan,nan
t030,nan,nan,nan,nan
t031,nan,nan,nan,nan
t032,nan,nan,nan,nan
t033,nan,nan,nan,nan
t034,nan,nan,nan,nan
t035,nan,nan,nan,nan
t036,nan,nan,nan,nan
