DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
unb,,,,,,
DISTRIBUTION,,,,,,,,,
entity,friends & family,backers,"seed, private & strategic sale",institution & venture,public sale (IDO),public sale (IEO),reserve,team,foundation
t000,"61,400,000.00","53,200,000.00","124,300,000.00","50,700,000.00","11,100,000.00","67,000,000.00","600,000,000.00",-,-
t001,"61,400,000.00","53,200,000.00","124,300,000.00","50,700,000.00","22,200,000.00","67,000,000.00","900,000,000.00",-,-
t002,"61,400,000.00","53,200,000.00","124,300,000.00","50,700,000.00","37,000,000.00","67,000,000.00","900,000,000.00",-,-
t003,"61,400,000.00","53,200,000.00","124,300,000.00","50,700,000.00","37,000,000.00","67,000,000.00","1,200,000,000.00",-,-
t004,"61,400,000.00","53,200,000.00","124,300,000.00","50,700,000.00","37,000,000.00","67,000,000.00","1,200,000,000.00",-,-
t005,"61,400,000.00","53,200,000.00","124,300,000.00","50,700,000.00","37,000,000.00","67,000,000.00","1,200,000,000.00",-,-
t006,"184,200,000.00","159,600,000.00","372,900,000.00","152,100,000.00","37,000,000.00","67,000,000.00","1,500,000,000.00","250,000,000.00",-
t007,"184,200,000.00","159,600,000.00","372,900,000.00","152,100,000.00","37,000,000.00","67,000,000.00","1,500,000,000.00","250,000,000.00",-
t008,"245,600,000.00","159,600,000.00","497,200,000.00","152,100,000.00","37,000,000.00","67,000,000.00","1,500,000,000.00","250,000,000.00",-
t009,"245,600,000.00","212,800,000.00","497,200,000.00","202,800,000.00","37,000,000.00","67,000,000.00","1,800,000,000.00","250,000,000.00",-
t010,"245,600,000.00","212,800,000.00","621,500,000.00","202,800,000.00","37,000,000.00","67,000,000.00","1,800,000,000.00","500,000,000.00",-
t011,"245,600,000.00","212,800,000.00","621,500,000.00","202,800,000.00","37,000,000.00","67,000,000.00","1,800,000,000.00","500,000,000.00",-
t012,"307,000,000.00","266,000,000.00","745,800,000.00","253,500,000.00","37,000,000.00","67,000,000.00","2,100,000,000.00","500,000,000.00",-
t013,"307,000,000.00","266,000,000.00","745,800,000.00","253,500,000.00","37,000,000.00","67,000,000.00","2,100,000,000.00","500,000,000.00",-
t014,"307,000,000.00","266,000,000.00","870,100,000.00","253,500,000.00","37,000,000.00","67,000,000.00","2,100,000,000.00","750,000,000.00",-
t015,"307,000,000.00","319,200,000.00","870,100,000.00","304,200,000.00","37,000,000.00","67,000,000.00","2,400,000,000.00","750,000,000.00",-
t016,"368,400,000.00","319,200,000.00","994,400,000.00","304,200,000.00","37,000,000.00","67,000,000.00","2,400,000,000.00","750,000,000.00",-
t017,"368,400,000.00","319,200,000.00","994,400,000.00","304,200,000.00","37,000,000.00","67,000,000.00","2,400,000,000.00","750,000,000.00",-
t018,"368,400,000.00","372,400,000.00","1,118,700,000.00","354,900,000.00","37,000,000.00","67,000,000.00","2,700,000,000.00","1,000,000,000.00",-
t019,"368,400,000.00","372,400,000.00","1,118,700,000.00","354,900,000.00","37,000,000.00","67,000,000.00","2,700,000,000.00","1,000,000,000.00",-
t020,"429,800,000.00","372,400,000.00","1,243,000,000.00","354,900,000.00","37,000,000.00","67,000,000.00","2,700,000,000.00","1,000,000,000.00",-
t021,"429,800,000.00","425,600,000.00","1,243,000,000.00","405,600,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,000,000,000.00",-
t022,"429,800,000.00","425,600,000.00","1,243,000,000.00","405,600,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,250,000,000.00",-
t023,"429,800,000.00","425,600,000.00","1,243,000,000.00","405,600,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,250,000,000.00",-
t024,"491,200,000.00","478,800,000.00","1,243,000,000.00","456,300,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,250,000,000.00",-
t025,"491,200,000.00","478,800,000.00","1,243,000,000.00","456,300,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,250,000,000.00",-
t026,"491,200,000.00","478,800,000.00","1,243,000,000.00","456,300,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,500,000,000.00",-
t027,"491,200,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,500,000,000.00",-
t028,"552,600,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,500,000,000.00",-
t029,"552,600,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,500,000,000.00",-
t030,"552,600,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,750,000,000.00",-
t031,"552,600,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,750,000,000.00",-
t032,"614,000,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,750,000,000.00",-
t033,"614,000,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","1,750,000,000.00",-
t034,"614,000,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","2,000,000,000.00",-
t035,"614,000,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","2,000,000,000.00",-
t036,"614,000,000.00","532,000,000.00","1,243,000,000.00","507,000,000.00","37,000,000.00","67,000,000.00","3,000,000,000.00","2,000,000,000.00",-
