DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
uni,,,,,,
DISTRIBUTION,,,,,,
entity,community,community airdrop,liquidity mining rewards,team,private sale,advisors
t000,"430,000,000.00","150,000,000.00","6,666,666.00",-,-,-
t001,"430,000,000.00","150,000,000.00","6,666,666.00","4,430,417.00","3,759,167.00","143,750.00"
t002,"430,000,000.00","150,000,000.00","6,666,666.00","8,860,833.00","7,518,333.00","287,500.00"
t003,"430,000,000.00","150,000,000.00","6,666,666.00","13,291,250.00","11,277,500.00","431,250.00"
t004,"430,000,000.00","150,000,000.00","6,666,666.00","17,721,667.00","15,036,667.00","575,000.00"
t005,"430,000,000.00","150,000,000.00","6,666,666.00","22,152,083.00","18,795,833.00","718,750.00"
t006,"430,000,000.00","150,000,000.00","6,666,666.00","26,582,500.00","22,555,000.00","862,500.00"
t007,"430,000,000.00","150,000,000.00","6,666,666.00","31,012,917.00","26,314,167.00","1,006,250.00"
t008,"430,000,000.00","150,000,000.00","6,666,666.00","35,443,333.00","30,073,333.00","1,150,000.00"
t009,"430,000,000.00","150,000,000.00","6,666,666.00","39,873,750.00","33,832,500.00","1,293,750.00"
t010,"430,000,000.00","150,000,000.00","6,666,666.00","44,304,167.00","37,591,667.00","1,437,500.00"
t011,"430,000,000.00","150,000,000.00","6,666,666.00","48,734,583.00","41,350,833.00","1,581,250.00"
t012,"430,000,000.00","150,000,000.00","6,666,666.00","53,165,000.00","45,110,000.00","1,725,000.00"
t013,"430,000,000.00","150,000,000.00","6,666,666.00","57,595,417.00","48,869,167.00","1,868,750.00"
t014,"430,000,000.00","150,000,000.00","6,666,666.00","62,025,833.00","52,628,333.00","2,012,500.00"
t015,"430,000,000.00","150,000,000.00","6,666,666.00","66,456,250.00","56,387,500.00","2,156,250.00"
t016,"430,000,000.00","150,000,000.00","6,666,666.00","70,886,667.00","60,146,667.00","2,300,000.00"
t017,"430,000,000.00","150,000,000.00","6,666,666.00","75,317,083.00","63,905,833.00","2,443,750.00"
t018,"430,000,000.00","150,000,000.00","6,666,666.00","79,747,500.00","67,665,000.00","2,587,500.00"
t019,"430,000,000.00","150,000,000.00","6,666,666.00","84,177,917.00","71,424,167.00","2,731,250.00"
t020,"430,000,000.00","150,000,000.00","6,666,666.00","88,608,333.00","75,183,333.00","2,875,000.00"
t021,"430,000,000.00","150,000,000.00","6,666,666.00","93,038,750.00","78,942,500.00","3,018,750.00"
t022,"430,000,000.00","150,000,000.00","6,666,666.00","97,469,167.00","82,701,667.00","3,162,500.00"
t023,"430,000,000.00","150,000,000.00","6,666,666.00","101,899,583.00","86,460,833.00","3,306,250.00"
t024,"430,000,000.00","150,000,000.00","6,666,666.00","106,330,000.00","90,220,000.00","3,450,000.00"
t025,"430,000,000.00","150,000,000.00","6,666,666.00","110,760,417.00","93,979,167.00","3,593,750.00"
t026,"430,000,000.00","150,000,000.00","6,666,666.00","115,190,833.00","97,738,333.00","3,737,500.00"
t027,"430,000,000.00","150,000,000.00","6,666,666.00","119,621,250.00","101,497,500.00","3,881,250.00"
t028,"430,000,000.00","150,000,000.00","6,666,666.00","124,051,667.00","105,256,667.00","4,025,000.00"
t029,"430,000,000.00","150,000,000.00","6,666,666.00","128,482,083.00","109,015,833.00","4,168,750.00"
t030,"430,000,000.00","150,000,000.00","6,666,666.00","132,912,500.00","112,775,000.00","4,312,500.00"
t031,"430,000,000.00","150,000,000.00","6,666,666.00","137,342,917.00","116,534,167.00","4,456,250.00"
t032,"430,000,000.00","150,000,000.00","6,666,666.00","141,773,333.00","120,293,333.00","4,600,000.00"
t033,"430,000,000.00","150,000,000.00","6,666,666.00","146,203,750.00","124,052,500.00","4,743,750.00"
t034,"430,000,000.00","150,000,000.00","6,666,666.00","150,634,167.00","127,811,667.00","4,887,500.00"
t035,"430,000,000.00","150,000,000.00","6,666,666.00","155,064,583.00","131,570,833.00","5,031,250.00"
t036,"430,000,000.00","150,000,000.00","6,666,666.00","159,495,000.00","135,330,000.00","5,175,000.00"
