DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
woo,,,,,,
DISTRIBUTION,,,,,
entity,team & advisors,private sale,public sale,ecosystem,liquidity management
t000,-,-,"300,000,000.00","1,500,000,000.00","150,000,000.00"
t001,"14,285,714.00","50,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t002,"28,571,429.00","100,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t003,"42,857,143.00","150,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t004,"57,142,857.00","200,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t005,"71,428,571.00","250,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t006,"85,714,286.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t007,"100,000,000.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t008,"114,285,714.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t009,"128,571,429.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t010,"142,857,143.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t011,"157,142,857.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t012,"171,428,571.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t013,"185,714,286.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t014,"200,000,000.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t015,"214,285,714.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t016,"228,571,429.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t017,"242,857,143.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t018,"257,142,857.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t019,"271,428,571.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t020,"285,714,286.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t021,"300,000,000.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t022,"314,285,714.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t023,"328,571,429.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t024,"342,857,143.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t025,"357,142,857.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t026,"371,428,571.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t027,"385,714,286.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t028,"400,000,000.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t029,"414,285,714.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t030,"428,571,429.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t031,"442,857,143.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t032,"457,142,857.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t033,"471,428,571.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t034,"485,714,286.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t035,"500,000,000.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
t036,"514,285,714.00","300,000,000.00","300,000,000.00","1,500,000,000.00","150,000,000.00"
