DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
wrp,,,,,,
DISTRIBUTION,,,,
entity,token sale,team,development,reserve
t000,"462,053,873.00",-,"111,787,227.00","22,357,445.00"
t001,"462,053,873.00",-,"111,787,227.00","22,357,445.00"
t002,"462,053,873.00",-,"111,787,227.00","22,357,445.00"
t003,"462,053,873.00",-,"111,787,227.00","22,357,445.00"
t004,"462,053,873.00",-,"111,787,227.00","22,357,445.00"
t005,"462,053,873.00",-,"111,787,227.00","22,357,445.00"
t006,"462,053,873.00","74,524,819.00","111,787,227.00","22,357,445.00"
t007,"462,053,873.00","74,524,819.00","111,787,227.00","22,357,445.00"
t008,"462,053,873.00","74,524,819.00","111,787,227.00","22,357,445.00"
t009,"462,053,873.00","74,524,819.00","111,787,227.00","22,357,445.00"
t010,"462,053,873.00","74,524,819.00","111,787,227.00","22,357,445.00"
t011,"462,053,873.00","74,524,819.00","111,787,227.00","22,357,445.00"
t012,"462,053,873.00","149,049,637.00","111,787,227.00","22,357,445.00"
t013,nan,nan,nan,nan
t014,nan,nan,nan,nan
t015,nan,nan,nan,nan
t016,nan,nan,nan,nan
t017,nan,nan,nan,nan
t018,nan,nan,nan,nan
t019,nan,nan,nan,nan
t020,nan,nan,nan,nan
t021,nan,nan,nan,nan
t022,nan,nan,nan,nan
t023,nan,nan,nan,nan
t024,nan,nan,nan,nan
t025,nan,nan,nan,nan
t026,nan,nan,nan,nan
t027,nan,nan,nan,nan
t028,nan,nan,nan,nan
t029,nan,nan,nan,nan
t030,nan,nan,nan,nan
t031,nan,nan,nan,nan
t032,nan,nan,nan,nan
t033,nan,nan,nan,nan
t034,nan,nan,nan,nan
t035,nan,nan,nan,nan
t036,nan,nan,nan,nan
