DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
xdc,,,,,,
DISTRIBUTION,,,,
entity,team,reserve,ecosystem,pre placement
t000,-,-,-,"10,000,000,000.00"
t001,-,-,-,"10,000,000,000.00"
t002,-,-,-,"10,000,000,000.00"
t003,-,-,-,"10,000,000,000.00"
t004,-,-,-,"10,000,000,000.00"
t005,-,-,-,"10,000,000,000.00"
t006,-,-,-,"10,000,000,000.00"
t007,-,-,-,"10,000,000,000.00"
t008,-,-,-,"10,000,000,000.00"
t009,-,-,-,"10,000,000,000.00"
t010,-,-,-,"10,000,000,000.00"
t011,-,-,-,"10,000,000,000.00"
t012,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t013,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t014,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t015,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t016,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t017,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t018,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t019,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t020,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t021,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t022,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t023,"450,000,000.00",-,"375,000,000.00","10,000,000,000.00"
t024,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t025,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t026,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t027,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t028,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t029,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t030,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t031,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t032,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t033,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t034,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t035,"900,000,000.00",-,"750,000,000.00","10,000,000,000.00"
t036,"1,350,000,000.00",-,"1,125,000,000.00","10,000,000,000.00"
