DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
zil,,,,,,
DISTRIBUTION,,,,,,
entity,token sale,mining rewards,community development,strategic sale,team,advisors
t000,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00",-,"630,000,000.00"
t001,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","43,750,000.00","630,000,000.00"
t002,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","43,750,000.00","630,000,000.00"
t003,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","43,750,000.00","630,000,000.00"
t004,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","87,500,000.00","630,000,000.00"
t005,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","87,500,000.00","630,000,000.00"
t006,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","87,500,000.00","630,000,000.00"
t007,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","131,250,000.00","630,000,000.00"
t008,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","131,250,000.00","630,000,000.00"
t009,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","131,250,000.00","630,000,000.00"
t010,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","175,000,000.00","630,000,000.00"
t011,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","175,000,000.00","630,000,000.00"
t012,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","175,000,000.00","630,000,000.00"
t013,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","218,750,000.00","630,000,000.00"
t014,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","218,750,000.00","630,000,000.00"
t015,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","218,750,000.00","630,000,000.00"
t016,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","262,500,000.00","630,000,000.00"
t017,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","262,500,000.00","630,000,000.00"
t018,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","262,500,000.00","630,000,000.00"
t019,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","306,250,000.00","630,000,000.00"
t020,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","306,250,000.00","630,000,000.00"
t021,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","306,250,000.00","630,000,000.00"
t022,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","350,000,000.00","630,000,000.00"
t023,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","350,000,000.00","630,000,000.00"
t024,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","350,000,000.00","630,000,000.00"
t025,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","393,750,000.00","630,000,000.00"
t026,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","393,750,000.00","630,000,000.00"
t027,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","393,750,000.00","630,000,000.00"
t028,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","437,500,000.00","630,000,000.00"
t029,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","437,500,000.00","630,000,000.00"
t030,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","437,500,000.00","630,000,000.00"
t031,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","481,250,000.00","630,000,000.00"
t032,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","481,250,000.00","630,000,000.00"
t033,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","481,250,000.00","630,000,000.00"
t034,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","525,000,000.00","630,000,000.00"
t035,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","525,000,000.00","630,000,000.00"
t036,"6,300,000,000.00","8,400,000,000.00","2,520,000,000.00","2,100,000,000.00","525,000,000.00","630,000,000.00"
