DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
zks,,,,,,
DISTRIBUTION,,,,,,
entity,airdrop & mining,team,developers,angel investors,A round investors,advisors
t000,-,-,-,"20,100,000.00",-,-
t001,"12,500,000.00",-,"1,666,667.00","20,100,000.00",-,"277,778.00"
t002,"25,000,000.00",-,"3,333,333.00","20,100,000.00",-,"555,556.00"
t003,"37,500,000.00",-,"5,000,000.00","20,100,000.00",-,"833,333.00"
t004,"50,000,000.00",-,"6,666,667.00","27,916,667.00",-,"1,111,111.00"
t005,"62,500,000.00",-,"8,333,333.00","35,733,333.00",-,"1,388,889.00"
t006,"75,000,000.00",-,"10,000,000.00","43,550,000.00",-,"1,666,667.00"
t007,"87,500,000.00",-,"11,666,667.00","51,366,667.00",-,"1,944,444.00"
t008,"100,000,000.00",-,"13,333,333.00","59,183,333.00",-,"2,222,222.00"
t009,"112,500,000.00",-,"15,000,000.00","67,000,000.00",-,"2,500,000.00"
t010,"125,000,000.00",-,"16,666,667.00","67,000,000.00",-,"2,777,778.00"
t011,"137,500,000.00",-,"18,333,333.00","67,000,000.00",-,"3,055,556.00"
t012,"150,000,000.00","4,166,667.00","20,000,000.00","67,000,000.00","53,000,000.00","3,333,333.00"
t013,"162,500,000.00","8,333,333.00","21,666,667.00","67,000,000.00","53,000,000.00","3,611,111.00"
t014,"175,000,000.00","12,500,000.00","23,333,333.00","67,000,000.00","53,000,000.00","3,888,889.00"
t015,"187,500,000.00","16,666,667.00","25,000,000.00","67,000,000.00","53,000,000.00","4,166,667.00"
t016,"200,000,000.00","20,833,333.00","26,666,667.00","67,000,000.00","53,000,000.00","4,444,444.00"
t017,"212,500,000.00","25,000,000.00","28,333,333.00","67,000,000.00","53,000,000.00","4,722,222.00"
t018,"225,000,000.00","29,166,667.00","30,000,000.00","67,000,000.00","53,000,000.00","5,000,000.00"
t019,"237,500,000.00","33,333,333.00","31,666,667.00","67,000,000.00","53,000,000.00","5,277,778.00"
t020,"250,000,000.00","37,500,000.00","33,333,333.00","67,000,000.00","53,000,000.00","5,555,556.00"
t021,"262,500,000.00","41,666,667.00","35,000,000.00","67,000,000.00","53,000,000.00","5,833,333.00"
t022,"275,000,000.00","45,833,333.00","36,666,667.00","67,000,000.00","53,000,000.00","6,111,111.00"
t023,"287,500,000.00","50,000,000.00","38,333,333.00","67,000,000.00","53,000,000.00","6,388,889.00"
t024,"300,000,000.00","54,166,667.00","40,000,000.00","67,000,000.00","53,000,000.00","6,666,667.00"
t025,"312,500,000.00","58,333,333.00","41,666,667.00","67,000,000.00","53,000,000.00","6,944,444.00"
t026,"325,000,000.00","62,500,000.00","43,333,333.00","67,000,000.00","53,000,000.00","7,222,222.00"
t027,"337,500,000.00","66,666,667.00","45,000,000.00","67,000,000.00","53,000,000.00","7,500,000.00"
t028,"350,000,000.00","70,833,333.00","46,666,667.00","67,000,000.00","53,000,000.00","7,777,778.00"
t029,"362,500,000.00","75,000,000.00","48,333,333.00","67,000,000.00","53,000,000.00","8,055,556.00"
t030,"375,000,000.00","79,166,667.00","50,000,000.00","67,000,000.00","53,000,000.00","8,333,333.00"
t031,"387,500,000.00","83,333,333.00","51,666,667.00","67,000,000.00","53,000,000.00","8,611,111.00"
t032,"400,000,000.00","87,500,000.00","53,333,333.00","67,000,000.00","53,000,000.00","8,888,889.00"
t033,"412,500,000.00","91,666,667.00","55,000,000.00","67,000,000.00","53,000,000.00","9,166,667.00"
t034,"425,000,000.00","95,833,333.00","56,666,667.00","67,000,000.00","53,000,000.00","9,444,444.00"
t035,"437,500,000.00","100,000,000.00","58,333,333.00","67,000,000.00","53,000,000.00","9,722,222.00"
t036,"450,000,000.00","104,166,667.00","60,000,000.00","67,000,000.00","53,000,000.00","10,000,000.00"
