DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
zrx,,,,,,
DISTRIBUTION,,,,,
entity,public sale,foundation,developer fund,team,advisors
t000,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t001,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t002,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t003,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t004,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t005,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t006,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t007,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t008,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t009,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t010,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t011,"500,000,000.00","150,000,000.00","150,000,000.00",-,"100,000,000.00"
t012,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t013,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t014,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t015,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t016,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t017,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t018,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t019,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t020,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t021,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t022,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t023,"500,000,000.00","150,000,000.00","150,000,000.00","25,000,000.00","100,000,000.00"
t024,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t025,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t026,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t027,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t028,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t029,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t030,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t031,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t032,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t033,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t034,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t035,"500,000,000.00","150,000,000.00","150,000,000.00","50,000,000.00","100,000,000.00"
t036,"500,000,000.00","150,000,000.00","150,000,000.00","75,000,000.00","100,000,000.00"
