Token,Holder,Month 0,Month 1 ,Month 2,Month 3,Month 4,Month 5,Month 6,Month 7,Month 8,Month 9,Month 10,Month 11,Month 12,Month 13,Month 14,Month 15,Month 16,Month 17,Month 18,Month 19,Month 20,Month 21,Month 22,Month 23,Month 24,Month 25,Month 26,Month 27,Month 28,Month 29,Month 30,Month 31,Month 32,Month 33,Month 34,Month 35,Month 36
MATIC,Launchpad sale,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
MATIC,seed,1.05,1.05,1.05,1.05,1.05,1.05,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09,2.09
MATIC,early supporters,0.86,0.86,0.86,0.86,0.86,0.86,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71,1.71
MATIC,team ,0,0,0,0,0,0,0,0,0,0,0,0,3.2,3.2,3.2,3.2,3.2,3.2,6.4,6.4,6.4,6.4,6.4,6.4,9.6,9.6,9.6,9.6,9.6,9.6,12.8,12.8,12.8,12.8,12.8,12.8,16
MATIC,advisors,0,0,0,0,0,0,1.33,1.33,1.33,1.33,1.33,1.33,2.67,2.67,2.67,2.67,2.67,2.67,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
MATIC,foundation,2.74,2.74,2.74,2.74,2.74,2.74,5.48,5.48,5.48,5.48,5.48,5.48,8.21,8.21,8.21,8.21,8.21,8.21,10.95,10.95,10.95,10.95,10.95,10.95,13.69,13.69,13.69,13.69,13.69,13.69,16.43,16.43,16.43,16.43,16.43,16.43,19.16
MATIC,ecosystem,4.67,4.67,4.67,4.67,4.67,4.67,9.33,9.33,9.33,9.33,9.33,9.33,14,14,14,14,14,14,18.67,18.67,18.67,18.67,18.67,18.67,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33,23.33
MATIC,staking rewards,4,4.25,4.5,4.75,5,5.25,5.5,5.75,6,6.25,6.5,6.75,7,7.25,7.5,7.75,8,8.25,8.5,8.75,9,9.25,9.5,9.75,10,10.25,10.5,10.75,11,11.25,11.5,11.75,12,12,12,12,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
