DATA,,,,,,
token_name,Aptos Labs,,,,,
token_symbol,Aptos,,,,,
start_date,12/10/2022,,,,,
start_tokens,1000000000,,,,,
emission_schedule,30D,,,,,
emission_type,inflationary,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,Community (Aptos Foundation),Community (Aptos Labs),Core Contributors,Foundation,Investors,Staking
type,percentage,percentage,percentage,percentage,percentage,inflationary
group,foundation,foundation,team,foundation,investors,validators
emission,unlock,unlock,unlock,unlock,unlock,staking
allocation,41.02,10.00,19.00,16.50,13.48,0.00
t000,6.25,6.25,0.00,0.50,0.00,0.00
t001,6.54,6.28,0.00,0.63,0.00,0.58
t002,6.83,6.31,0.00,0.77,0.00,1.17
t003,7.12,6.34,0.00,0.90,0.00,1.75
t004,7.41,6.38,0.00,1.03,0.00,2.33
t005,7.70,6.41,0.00,1.17,0.00,2.92
t006,7.99,6.44,0.00,1.30,0.00,3.50
t007,8.28,6.47,0.00,1.43,0.00,4.08
t008,8.57,6.50,0.00,1.57,0.00,4.67
t009,8.86,6.53,0.00,1.70,0.00,5.25
t010,9.15,6.56,0.00,1.83,0.00,5.83
t011,9.44,6.59,0.00,1.97,0.00,6.42
t012,9.73,6.63,0.00,2.10,0.00,6.98
t013,10.02,6.66,1.19,2.23,0.84,7.55
t014,10.31,6.69,2.38,2.37,1.69,8.11
t015,10.60,6.72,3.56,2.50,2.53,8.67
t016,10.89,6.75,4.75,2.63,3.37,9.24
t017,11.18,6.78,5.94,2.77,4.21,9.80
t018,11.47,6.81,7.13,2.90,5.06,10.37
t019,11.76,6.84,7.52,3.03,5.34,10.93
t020,12.05,6.88,7.92,3.17,5.62,11.50
t021,12.33,6.91,8.31,3.30,5.90,12.06
t022,12.62,6.94,8.71,3.43,6.18,12.62
t023,12.91,6.97,9.10,3.57,6.46,13.19
t024,13.20,7.00,9.50,3.70,6.74,13.75
t025,13.49,7.03,9.90,3.83,7.02,14.30
t026,13.78,7.06,10.29,3.97,7.30,14.84
