DATA,,,,,,
key,data,,,,,
token_name,Star Atlas (in-game currency),,,,,
token_symbol,ATLAS,,,,,
start_date,01/09/2021,,,,,
start_tokens,36000000000,,,,,
emission_schedule,30D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,private sale,presale,public token sale,listings / liquidity pools,rewards / emissions,team
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,investors,public,community,rewards,team
emission,unlock,unlock,unlock,unlock,staking,unlock
allocation,22.50,1.50,2.00,4.00,65.00,5.00
t000,1.13,0.08,2.00,4.00,0.00,0.00
t001,2.02,0.13,2.00,4.00,0.68,0.21
t002,2.91,0.19,2.00,4.00,1.35,0.42
t003,3.80,0.25,2.00,4.00,2.03,0.63
t004,4.69,0.31,2.00,4.00,2.71,0.83
t005,5.58,0.37,2.00,4.00,3.39,1.04
t006,6.47,0.43,2.00,4.00,4.06,1.25
t007,7.36,0.49,2.00,4.00,4.74,1.46
t008,8.25,0.55,2.00,4.00,5.42,1.67
t009,9.14,0.61,2.00,4.00,6.09,1.88
t010,10.03,0.67,2.00,4.00,6.77,2.08
t011,10.92,0.73,2.00,4.00,7.45,2.29
t012,11.81,0.79,2.00,4.00,8.13,2.50
t013,12.70,0.85,2.00,4.00,8.80,2.71
t014,13.59,0.91,2.00,4.00,9.48,2.92
t015,14.48,0.97,2.00,4.00,10.16,3.13
t016,15.38,1.03,2.00,4.00,10.83,3.33
t017,16.27,1.08,2.00,4.00,11.51,3.54
t018,17.16,1.14,2.00,4.00,12.19,3.75
t019,18.05,1.20,2.00,4.00,12.86,3.96
t020,18.94,1.26,2.00,4.00,13.54,4.17
t021,19.83,1.32,2.00,4.00,14.22,4.38
t022,20.72,1.38,2.00,4.00,14.90,4.58
t023,21.61,1.44,2.00,4.00,15.57,4.79
t024,22.50,1.50,2.00,4.00,16.25,5.00
t025,22.50,1.50,2.00,4.00,16.93,5.00
t026,22.50,1.50,2.00,4.00,17.60,5.00
t027,22.50,1.50,2.00,4.00,18.28,5.00
t028,22.50,1.50,2.00,4.00,18.96,5.00
t029,22.50,1.50,2.00,4.00,19.64,5.00
t030,22.50,1.50,2.00,4.00,20.31,5.00
t031,22.50,1.50,2.00,4.00,20.99,5.00
t032,22.50,1.50,2.00,4.00,21.67,5.00
t033,22.50,1.50,2.00,4.00,22.34,5.00
t034,22.50,1.50,2.00,4.00,23.02,5.00
t035,22.50,1.50,2.00,4.00,23.70,5.00
t036,22.50,1.50,2.00,4.00,24.38,5.00
t037,22.50,1.50,2.00,4.00,25.05,5.00
t038,22.50,1.50,2.00,4.00,25.73,5.00
t039,22.50,1.50,2.00,4.00,26.41,5.00
t040,22.50,1.50,2.00,4.00,27.08,5.00
t041,22.50,1.50,2.00,4.00,27.76,5.00
t042,22.50,1.50,2.00,4.00,28.44,5.00
t043,22.50,1.50,2.00,4.00,29.11,5.00
t044,22.50,1.50,2.00,4.00,29.79,5.00
t045,22.50,1.50,2.00,4.00,30.47,5.00
t046,22.50,1.50,2.00,4.00,31.15,5.00
t047,22.50,1.50,2.00,4.00,31.82,5.00
t048,22.50,1.50,2.00,4.00,32.50,5.00
t049,22.50,1.50,2.00,4.00,33.18,5.00
t050,22.50,1.50,2.00,4.00,33.85,5.00
t051,22.50,1.50,2.00,4.00,34.53,5.00
t052,22.50,1.50,2.00,4.00,35.21,5.00
t053,22.50,1.50,2.00,4.00,35.89,5.00
t054,22.50,1.50,2.00,4.00,36.56,5.00
t055,22.50,1.50,2.00,4.00,37.24,5.00
