DATA,,,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive,,
capcoin,cap,25/12/2021,6500000,90D,inflationary,"staking, capitalization",,
DISTRIBUTION,,,,,,,,
entity,team1,marketing,investor1,investor2,investor3,public,unsold,inflation
descriptor,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,contract
address,0xABCD....1234,0xABCD....1235,0xABCD....1236,0xABCD....1237,0xABCD....1238,0xABCD....1239,0xABCD....1240,0xWXYZ….0987
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,amount
group,treasury,treasury,investor,investor,investor,public,public,public
emission,unlock,unlock,unlock,unlock,unlock,unlock,stake,stake
intialallocation,5,5,1.5,2.5,3.5,32.5,50,0
t000,0.5,0.1,0.1,0.5,0.75,32.5,1.5,0
t001,0.75,0.6,0.2,0.6,0.85,32.5,3,162500
t002,1,1.1,0.3,0.7,0.95,32.5,4.5,325000
t003,1.25,1.6,0.4,0.8,1.05,32.5,6,487500
t004,1.5,2.1,0.5,0.9,1.15,32.5,7.5,650000
t005,1.5,2.1,0.5,0.9,1.15,32.5,9,812500
t006,1.5,2.1,0.5,0.9,1.15,32.5,10.5,975000
t007,1.75,2.6,0.6,1,1.25,32.5,12,1137500
t008,2,3.1,0.7,1.1,1.35,32.5,13.5,1300000
t009,2.25,3.6,0.8,1.2,1.45,32.5,15,1462500
t010,2.25,3.6,0.8,1.2,1.45,32.5,16.5,1625000
t011,2.5,4.1,0.9,1.3,1.55,32.5,18,1787500
t012,2.75,4.6,1,1.4,1.65,32.5,19.5,1950000
