DATA,,,,,,
key,data,,,,,
token_name,Star Atlas (in-game currency),,,,,
token_symbol,ATLAS,,,,,
start_date,01/09/2021,,,,,
start_tokens,36000000000,,,,,
emission_schedule,30D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,Private Sale,Presale,Public Token Sale,Listings / Liquidity Pools,Rewards / Emissions,Team
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,investors,public,community,ecosystem,team_advisors
emission,unlock,unlock,unlock,unlock,staking,unlock
allocation,22.5,1.5,2,4,65,5
t000,1.13,0.08,2,4,0,0
t001,2.02,0.13,2,4,0.68,0.21
t002,2.91,0.19,2,4,1.35,0.42
t003,3.8,0.25,2,4,2.03,0.63
t004,4.69,0.31,2,4,2.71,0.83
t005,5.58,0.37,2,4,3.39,1.04
t006,6.47,0.43,2,4,4.06,1.25
t007,7.36,0.49,2,4,4.74,1.46
t008,8.25,0.55,2,4,5.42,1.67
t009,9.14,0.61,2,4,6.09,1.88
t010,10.03,0.67,2,4,6.77,2.08
t011,10.92,0.73,2,4,7.45,2.29
t012,11.81,0.79,2,4,8.13,2.5
t013,12.7,0.85,2,4,8.8,2.71
t014,13.59,0.91,2,4,9.48,2.92
t015,14.48,0.97,2,4,10.16,3.13
t016,15.38,1.03,2,4,10.83,3.33
t017,16.27,1.08,2,4,11.51,3.54
t018,17.16,1.14,2,4,12.19,3.75
t019,18.05,1.2,2,4,12.86,3.96
t020,18.94,1.26,2,4,13.54,4.17
t021,19.83,1.32,2,4,14.22,4.38
t022,20.72,1.38,2,4,14.9,4.58
t023,21.61,1.44,2,4,15.57,4.79
t024,22.5,1.5,2,4,16.25,5
t025,22.5,1.5,2,4,16.93,5
t026,22.5,1.5,2,4,17.6,5
t027,22.5,1.5,2,4,18.28,5
t028,22.5,1.5,2,4,18.96,5
t029,22.5,1.5,2,4,19.64,5
t030,22.5,1.5,2,4,20.31,5
t031,22.5,1.5,2,4,20.99,5
t032,22.5,1.5,2,4,21.67,5
t033,22.5,1.5,2,4,22.34,5
t034,22.5,1.5,2,4,23.02,5
t035,22.5,1.5,2,4,23.7,5
t036,22.5,1.5,2,4,24.38,5
t037,22.5,1.5,2,4,25.05,5
t038,22.5,1.5,2,4,25.73,5
t039,22.5,1.5,2,4,26.41,5
t040,22.5,1.5,2,4,27.08,5
t041,22.5,1.5,2,4,27.76,5
t042,22.5,1.5,2,4,28.44,5
t043,22.5,1.5,2,4,29.11,5
t044,22.5,1.5,2,4,29.79,5
t045,22.5,1.5,2,4,30.47,5
t046,22.5,1.5,2,4,31.15,5
t047,22.5,1.5,2,4,31.82,5
t048,22.5,1.5,2,4,32.5,5
t049,22.5,1.5,2,4,33.18,5
t050,22.5,1.5,2,4,33.85,5
t051,22.5,1.5,2,4,34.53,5
t052,22.5,1.5,2,4,35.21,5
t053,22.5,1.5,2,4,35.89,5
t054,22.5,1.5,2,4,36.56,5
t055,22.5,1.5,2,4,37.24,5
t056,22.5,1.5,2,4,37.92,5
t057,22.5,1.5,2,4,38.59,5
t058,22.5,1.5,2,4,39.27,5
t059,22.5,1.5,2,4,39.95,5
t060,22.5,1.5,2,4,40.63,5
t061,22.5,1.5,2,4,41.3,5
t062,22.5,1.5,2,4,41.98,5
t063,22.5,1.5,2,4,42.66,5
t064,22.5,1.5,2,4,43.33,5
t065,22.5,1.5,2,4,44.01,5
t066,22.5,1.5,2,4,44.69,5
t067,22.5,1.5,2,4,45.36,5
t068,22.5,1.5,2,4,46.04,5
t069,22.5,1.5,2,4,46.72,5
t070,22.5,1.5,2,4,47.4,5
t071,22.5,1.5,2,4,48.07,5
t072,22.5,1.5,2,4,48.75,5
t073,22.5,1.5,2,4,49.43,5
t074,22.5,1.5,2,4,50.1,5
t075,22.5,1.5,2,4,50.78,5
t076,22.5,1.5,2,4,51.46,5
t077,22.5,1.5,2,4,52.14,5
t078,22.5,1.5,2,4,52.81,5
t079,22.5,1.5,2,4,53.49,5
t080,22.5,1.5,2,4,54.17,5
t081,22.5,1.5,2,4,54.84,5
t082,22.5,1.5,2,4,55.52,5
t083,22.5,1.5,2,4,56.2,5
t084,22.5,1.5,2,4,56.88,5
t085,22.5,1.5,2,4,57.55,5
t086,22.5,1.5,2,4,58.23,5
t087,22.5,1.5,2,4,58.91,5
t088,22.5,1.5,2,4,59.58,5
t089,22.5,1.5,2,4,60.26,5
t090,22.5,1.5,2,4,60.94,5
t091,22.5,1.5,2,4,61.61,5
t092,22.5,1.5,2,4,62.29,5
t093,22.5,1.5,2,4,62.97,5
t094,22.5,1.5,2,4,63.65,5
t095,22.5,1.5,2,4,64.32,5
t096,22.5,1.5,2,4,65,5
