DATA,,,,,,,,,
key,data,,,,,,,,
token_name,Maps.me,,,,,,,,
token_symbol,MAPS,,,,,,,,
start_date,44531,,,,,,,,
start_tokens,10000000000,,,,,,,,
emission_schedule,1D,,,,,,,,
emission_type,linear_unlock,,,,,,,,
emission_incentive,,,,,,,,,
DISTRIBUTION,,,,,,,,,
entity,Private Sale,IEO and Initial Liquidity,Serum Community Fund,MAPS Community Fund,Liquidity & Token Growth,Ecosystem Partners,Project Builders,Technology & Product,Ecosystem Growth & Marketing
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,investor,public,ecosystem,ecosystem,foundation,foundation,team,team,ecosystem
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
allocation,5,5,20,20,5,10,15,10,10
t000,0,5,1.5,2,0,0,0,0,1.5
t001,0,5,1.5,2,0,0,0,0,1.5
t002,0,5,1.5,2,0,0,0,0,1.5
t003,0,5,1.5,2,0,0,0,0,1.5
t004,0,5,1.5,2,0,0,0,0,1.5
t005,0,5,1.5,2,0,0,0,0,1.5
t006,0,5,1.5,2,0,0,0,0,1.5
t007,0,5,1.5,2,0,0,0,0,1.5
t008,0,5,1.5,2,0,0,0,0,1.5
t009,0,5,1.5,2,0,0,0,0,1.5
t010,0,5,1.5,2,0,0,0,0,1.5
t011,0,5,1.5,2,0,0,0,0,1.5
t012,0,5,1.5,2,0,0,0,0,1.5
t013,0,5,1.5,2,0,0,0,0,1.5
t014,0,5,1.5,2,0,0,0,0,1.5
t015,0,5,1.5,2,0,0,0,0,1.5
t016,0,5,1.5,2,0,0,0,0,1.5
t017,0,5,1.5,2,0,0,0,0,1.5
t018,0,5,1.5,2,0,0,0,0,1.5
t019,0,5,1.5,2,0,0,0,0,1.5
t020,0,5,1.5,2,0,0,0,0,1.5
t021,0,5,1.5,2,0,0,0,0,1.5
t022,0,5,1.5,2,0,0,0,0,1.5
t023,0,5,1.5,2,0,0,0,0,1.5
t024,0,5,1.5,2,0,0,0,0,1.5
t025,0,5,1.5,2,0,0,0,0,1.5
t026,0,5,1.5,2,0,0,0,0,1.5
t027,0,5,1.5,2,0,0,0,0,1.5
t028,0,5,1.5,2,0,0,0,0,1.5
t029,0,5,1.5,2,0,0,0,0,1.5
t030,0,5,1.5,2,0,0,0,0,1.5
t031,0,5,1.5,2,0,0,0,0,1.5
t032,0,5,1.5,2,0,0,0,0,1.5
t033,0,5,1.5,2,0,0,0,0,1.5
t034,0,5,1.5,2,0,0,0,0,1.5
t035,0,5,1.5,2,0,0,0,0,1.5
t036,0,5,1.5,2,0,0,0,0,1.5
t037,0,5,1.5,2,0,0,0,0,1.5
t038,0,5,1.5,2,0,0,0,0,1.5
t039,0,5,1.5,2,0,0,0,0,1.5
t040,0,5,1.5,2,0,0,0,0,1.5
t041,0,5,1.5,2,0,0,0,0,1.5
t042,0,5,1.5,2,0,0,0,0,1.5
t043,0,5,1.5,2,0,0,0,0,1.5
t044,0,5,1.5,2,0,0,0,0,1.5
t045,0,5,1.5,2,0,0,0,0,1.5
t046,0,5,1.5,2,0,0,0,0,1.5
t047,0,5,1.5,2,0,0,0,0,1.5
t048,0,5,1.5,2,0,0,0,0,1.5
t049,0,5,1.5,2,0,0,0,0,1.5
t050,0,5,1.5,2,0,0,0,0,1.5
t051,0,5,1.5,2,0,0,0,0,1.5
t052,0,5,1.5,2,0,0,0,0,1.5
t053,0,5,1.5,2,0,0,0,0,1.5
t054,0,5,1.5,2,0,0,0,0,1.5
t055,0,5,1.5,2,0,0,0,0,1.5
t056,0,5,1.5,2,0,0,0,0,1.5
t057,0,5,1.5,2,0,0,0,0,1.5
t058,0,5,1.5,2,0,0,0,0,1.5
t059,0,5,1.5,2,0,0,0,0,1.5
t060,0,5,1.5,2,0,0,0,0,1.5
t061,0,5,1.5,2,0,0,0,0,1.5
t062,0,5,1.5,2,0,0,0,0,1.5
t063,0,5,1.5,2,0,0,0,0,1.5
t064,0,5,1.5,2,0,0,0,0,1.5
t065,0,5,1.5,2,0,0,0,0,1.5
t066,0,5,1.5,2,0,0,0,0,1.5
t067,0,5,1.5,2,0,0,0,0,1.5
t068,0,5,1.5,2,0,0,0,0,1.5
t069,0,5,1.5,2,0,0,0,0,1.5
t070,0,5,1.5,2,0,0,0,0,1.5
