DATA,,,,,,
key,data,,,,,
token_name,Star Atlas (governance token),,,,,
token_symbol,POLIS,,,,,
start_date,01/09/2021,,,,,
start_tokens,360000000,,,,,
emission_schedule,30D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,Private Sale,Presale,Public Token Sale,Listings / Liquidity Pools,Rewards / Emissions,Team
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,investors,public,community,ecosystem,team_advisors
emission,unlock,unlock,unlock,unlock,staking,unlock
allocation,22.5,1.5,2,4,40,30
t000,1.13,0.08,2,4,0,0
t001,2.02,0.13,2,4,0.42,1.25
t002,2.91,0.19,2,4,0.83,2.5
t003,3.8,0.25,2,4,1.25,3.75
t004,4.69,0.31,2,4,1.67,5
t005,5.58,0.37,2,4,2.08,6.25
t006,6.47,0.43,2,4,2.5,7.5
t007,7.36,0.49,2,4,2.92,8.75
t008,8.25,0.55,2,4,3.33,10
t009,9.14,0.61,2,4,3.75,11.25
t010,10.03,0.67,2,4,4.17,12.5
t011,10.92,0.73,2,4,4.58,13.75
t012,11.81,0.79,2,4,5,15
t013,12.7,0.85,2,4,5.42,16.25
t014,13.59,0.91,2,4,5.83,17.5
t015,14.48,0.97,2,4,6.25,18.75
t016,15.38,1.03,2,4,6.67,20
t017,16.27,1.08,2,4,7.08,21.25
t018,17.16,1.14,2,4,7.5,22.5
t019,18.05,1.2,2,4,7.92,23.75
t020,18.94,1.26,2,4,8.33,25
t021,19.83,1.32,2,4,8.75,26.25
t022,20.72,1.38,2,4,9.17,27.5
t023,21.61,1.44,2,4,9.58,28.75
t024,22.5,1.5,2,4,10,30
t025,22.5,1.5,2,4,10.42,30
t026,22.5,1.5,2,4,10.83,30
t027,22.5,1.5,2,4,11.25,30
t028,22.5,1.5,2,4,11.67,30
t029,22.5,1.5,2,4,12.08,30
t030,22.5,1.5,2,4,12.5,30
t031,22.5,1.5,2,4,12.92,30
t032,22.5,1.5,2,4,13.33,30
t033,22.5,1.5,2,4,13.75,30
t034,22.5,1.5,2,4,14.17,30
t035,22.5,1.5,2,4,14.58,30
t036,22.5,1.5,2,4,15,30
t037,22.5,1.5,2,4,15.42,30
t038,22.5,1.5,2,4,15.83,30
t039,22.5,1.5,2,4,16.25,30
t040,22.5,1.5,2,4,16.67,30
t041,22.5,1.5,2,4,17.08,30
t042,22.5,1.5,2,4,17.5,30
t043,22.5,1.5,2,4,17.92,30
t044,22.5,1.5,2,4,18.33,30
t045,22.5,1.5,2,4,18.75,30
t046,22.5,1.5,2,4,19.17,30
t047,22.5,1.5,2,4,19.58,30
t048,22.5,1.5,2,4,20,30
t049,22.5,1.5,2,4,20.42,30
t050,22.5,1.5,2,4,20.83,30
t051,22.5,1.5,2,4,21.25,30
t052,22.5,1.5,2,4,21.67,30
t053,22.5,1.5,2,4,22.08,30
t054,22.5,1.5,2,4,22.5,30
t055,22.5,1.5,2,4,22.92,30
t056,22.5,1.5,2,4,23.33,30
t057,22.5,1.5,2,4,23.75,30
t058,22.5,1.5,2,4,24.17,30
t059,22.5,1.5,2,4,24.58,30
t060,22.5,1.5,2,4,25,30
t061,22.5,1.5,2,4,25.42,30
t062,22.5,1.5,2,4,25.83,30
t063,22.5,1.5,2,4,26.25,30
t064,22.5,1.5,2,4,26.67,30
t065,22.5,1.5,2,4,27.08,30
t066,22.5,1.5,2,4,27.5,30
t067,22.5,1.5,2,4,27.92,30
t068,22.5,1.5,2,4,28.33,30
t069,22.5,1.5,2,4,28.75,30
t070,22.5,1.5,2,4,29.17,30
t071,22.5,1.5,2,4,29.58,30
t072,22.5,1.5,2,4,30,30
t073,22.5,1.5,2,4,30.42,30
t074,22.5,1.5,2,4,30.83,30
t075,22.5,1.5,2,4,31.25,30
t076,22.5,1.5,2,4,31.67,30
t077,22.5,1.5,2,4,32.08,30
t078,22.5,1.5,2,4,32.5,30
t079,22.5,1.5,2,4,32.92,30
t080,22.5,1.5,2,4,33.33,30
t081,22.5,1.5,2,4,33.75,30
t082,22.5,1.5,2,4,34.17,30
t083,22.5,1.5,2,4,34.58,30
t084,22.5,1.5,2,4,35,30
t085,22.5,1.5,2,4,35.42,30
t086,22.5,1.5,2,4,35.83,30
t087,22.5,1.5,2,4,36.25,30
t088,22.5,1.5,2,4,36.67,30
t089,22.5,1.5,2,4,37.08,30
t090,22.5,1.5,2,4,37.5,30
t091,22.5,1.5,2,4,37.92,30
t092,22.5,1.5,2,4,38.33,30
t093,22.5,1.5,2,4,38.75,30
t094,22.5,1.5,2,4,39.17,30
t095,22.5,1.5,2,4,39.58,30
t096,22.5,1.5,2,4,40,30
