DATA,,,,
key,data,,,,,
token_name,Genopets,,,
token_symbol,GENE,,,
start_date,19/11/2021,,,
start_tokens,100000000,,,
emission_schedule,1D,,,
emission_type,linear_unlock,,,
emission_incentive,,,,
DISTRIBUTION,,,,
entity,private sale,public sale,team & advisors,community treasure and P2E
type,percentage,percentage,percentage,percentage
group,investors,public,team,community
emission,unlock,unlock,unlock,unlock
allocation,32.5,1.5,25,41
t000,0.00,1.50,0.00,2.00
t001,0.00,1.50,0.00,2.02
t002,0.00,1.50,0.00,2.04
t003,0.00,1.50,0.00,2.06
t004,0.00,1.50,0.00,2.09
t005,0.00,1.50,0.00,2.11
t006,0.00,1.50,0.00,2.13
t007,0.00,1.50,0.00,2.15
t008,0.00,1.50,0.00,2.17
t009,0.00,1.50,0.00,2.19
t010,0.00,1.50,0.00,2.21
t011,0.00,1.50,0.00,2.23
t012,0.00,1.50,0.00,2.26
t013,0.00,1.50,0.00,2.28
t014,0.00,1.50,0.00,2.30
t015,0.00,1.50,0.00,2.32
t016,0.00,1.50,0.00,2.34
t017,0.00,1.50,0.00,2.36
t018,0.00,1.50,0.00,2.38
t019,0.00,1.50,0.00,2.41
t020,0.00,1.50,0.00,2.43
t021,0.00,1.50,0.00,2.45
t022,0.00,1.50,0.00,2.47
t023,0.00,1.50,0.00,2.49
t024,0.00,1.50,0.00,2.51
t025,0.00,1.50,0.00,2.53
t026,0.00,1.50,0.00,2.56
t027,0.00,1.50,0.00,2.58
t028,0.00,1.50,0.00,2.60
t029,0.00,1.50,0.00,2.62
t030,0.00,1.50,0.00,2.64
t031,0.00,1.50,0.00,2.66
t032,0.00,1.50,0.00,2.68
t033,0.00,1.50,0.00,2.70
t034,0.00,1.50,0.00,2.73
t035,0.00,1.50,0.00,2.75
t036,0.00,1.50,0.00,2.77
t037,0.00,1.50,0.00,2.79
t038,0.00,1.50,0.00,2.81
t039,0.00,1.50,0.00,2.83
t040,0.00,1.50,0.00,2.85
t041,0.00,1.50,0.00,2.88
t042,0.00,1.50,0.00,2.90
t043,0.00,1.50,0.00,2.92
t044,0.00,1.50,0.00,2.94
t045,0.00,1.50,0.00,2.96
t046,0.00,1.50,0.00,2.98
t047,0.00,1.50,0.00,3.00
t048,0.00,1.50,0.00,3.03
t049,0.00,1.50,0.00,3.05
t050,0.00,1.50,0.00,3.07
t051,0.00,1.50,0.00,3.09
t052,0.00,1.50,0.00,3.11
t053,0.00,1.50,0.00,3.13
t054,0.00,1.50,0.00,3.15
t055,0.00,1.50,0.00,3.17
t056,0.00,1.50,0.00,3.20
t057,0.00,1.50,0.00,3.22
