DATA,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive
stepn,gmt,01/03/2022,6000000000,30D,inflationary,staking
DISTRIBUTION,,,,,,
entity,launchpad sale,private sale,team,advisors,treasury,move and earn
descriptor,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum
address,0xABCD....1234,0xABCD....1235,0xABCD....1236,0xABCD....1237,0xABCD....1238,0xABCD....1239
type,percentage,percentage,percentage,percentage,percentage,percentage
group,treasury,treasury,treasury,public,investor,investor
emission,unlock,unlock,unlock,unlock,unlock,unlock
initial,7,16.3,14.2,2.5,30,30
t000,7,0,0,0,3,0
t001,7,0,0,0,3.3,0
t002,7,0,0,0,3.9,0
t003,7,0,0,0,4.2,0
t004,7,0,0,0,4.5,0
t005,7,0,0,0,4.8,0.42
t006,7,0,0,0,5.1,0.83
t007,7,0,0,0,5.4,1.25
t008,7,0,0,0,5.7,1.67
t009,7,0,0,0,6,2.08
t010,7,0,0,0,6.3,2.5
t011,7,0.63,0.3,0.1,6.6,2.92
t012,7,1.27,0.59,0.21,6.9,3.33
t013,7,1.9,0.89,0.31,7.2,3.75
t014,7,2.54,1.18,0.42,7.5,4.17
t015,7,3.17,1.48,0.52,7.8,4.58
t016,7,3.8,1.78,0.63,8.1,5
t017,7,4.44,2.07,0.73,8.4,5.42
t018,7,5.07,2.37,0.83,8.7,5.83
t019,7,5.71,2.66,0.94,9,6.25
t020,7,6.25,2.96,1.04,9.3,6.67
t021,7,6.79,3.25,1.15,9.6,7.08
t022,7,7.34,3.55,1.25,9.9,7.5
t023,7,7.88,3.85,1.35,10.2,7.92
t024,7,8.42,4.14,1.16,10.5,8.33
t025,7,8.97,4.44,1.56,10.8,8.75
t026,7,9.51,4.73,1.67,11.1,9.17
t027,7,10.05,5.03,1.77,11.4,9.58
t028,7,10.6,5.33,1.88,11.7,10
t029,7,10.96,5.62,1.98,12,10.42
t030,7,11.32,5.92,2.08,12.3,10.83
t031,7,11.68,6.21,2.19,12.6,11.25
t032,7,12.04,6.51,2.29,12.9,11.67
t033,7,12.14,6.8,2.4,13.2,12.08
t034,7,12.77,7.1,2.5,13.5,12.5
t035,7,13.13,7.4,2.5,13.8,12.92
t036,7,13.49,7.69,2.5,14.1,13.33
