DATA,,,,,,,,
token_name,token_symbol,start_date,start_tokens,emission_schedule,emission_type,emission_incentive,,
polygon,matic,01/04/2019,10000,30D,inflationary,staking,,
DISTRIBUTION,,,,,,,,
entity,Launchpad sale,seed,early supporters,team ,advisors,foundation,ecosystem,staking rewards
descriptor,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,Lorem ipsum,contract
address,0xABCD....1234,0xABCD....1235,0xABCD....1236,0xABCD....1237,0xABCD....1238,0xABCD....1239,0xABCD....1240,0xWXYZ….0987
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,public,investor,investor,team ,team,team,team,public
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,stake
intialallocation,19,2.09,1.71,16,4,21.86,23.33,12
t000,19,1.05,0.86,0,0,2.74,4.67,4
t001,19,1.05,0.86,0,0,2.74,4.67,4.25
t002,19,1.05,0.86,0,0,2.74,4.67,4.5
t003,19,1.05,0.86,0,0,2.74,4.67,4.75
t004,19,1.05,0.86,0,0,2.74,4.67,5
t005,19,1.05,0.86,0,0,2.74,4.67,5.25
t006,19,2.09,1.71,0,1.33,5.48,9.33,5.5
t007,19,2.09,1.71,0,1.33,5.48,9.33,5.75
t008,19,2.09,1.71,0,1.33,5.48,9.33,6
t009,19,2.09,1.71,0,1.33,5.48,9.33,6.25
t010,19,2.09,1.71,0,1.33,5.48,9.33,6.5
t011,19,2.09,1.71,0,1.33,5.48,9.33,6.75
t012,19,2.09,1.71,3.2,2.67,8.21,14,7
t013,19,2.09,1.71,3.2,2.67,8.21,14,7.25
t014,19,2.09,1.71,3.2,2.67,8.21,14,7.5
t015,19,2.09,1.71,3.2,2.67,8.21,14,7.75
t016,19,2.09,1.71,3.2,2.67,8.21,14,8
t017,19,2.09,1.71,3.2,2.67,8.21,14,8.25
t018,19,2.09,1.71,6.4,4,10.95,18.67,8.5
t019,19,2.09,1.71,6.4,4,10.95,18.67,8.75
t020,19,2.09,1.71,6.4,4,10.95,18.67,9
t021,19,2.09,1.71,6.4,4,10.95,18.67,9.25
t022,19,2.09,1.71,6.4,4,10.95,18.67,9.5
t023,19,2.09,1.71,6.4,4,10.95,18.67,9.75
t024,19,2.09,1.71,9.6,4,13.69,23.33,10
t025,19,2.09,1.71,9.6,4,13.69,23.33,10.25
t026,19,2.09,1.71,9.6,4,13.69,23.33,10.5
t027,19,2.09,1.71,9.6,4,13.69,23.33,10.75
t028,19,2.09,1.71,9.6,4,13.69,23.33,11
t029,19,2.09,1.71,9.6,4,13.69,23.33,11.25
t030,19,2.09,1.71,12.8,4,16.43,23.33,11.5
t031,19,2.09,1.71,12.8,4,16.43,23.33,11.75
t032,19,2.09,1.71,12.8,4,16.43,23.33,12
t033,19,2.09,1.71,12.8,4,16.43,23.33,12
t034,19,2.09,1.71,12.8,4,16.43,23.33,12
t035,19,2.09,1.71,12.8,4,16.43,23.33,12
t036,19,2.09,1.71,16,4,19.16,23.33,12
