DATA,,,,,,,,
key,data,,,,,,,
token_name,Oxygen,,,,,,,
token_symbol,OXY,,,,,,,
start_date,01/12/2021,,,,,,,
start_tokens,10000000000,,,,,,,
emission_schedule,1D,,,,,,,
emission_type,linear_unlock,,,,,,,
emission_incentive,,,,,,,,
DISTRIBUTION,,,,,,,,
entity,Community Fund,Team,Serum Ecosystem Incentives,Maps Ecosystem Incentives,Product and Tech Growth,Private Sale,IEO,Partners
type,percentage,percentage,percentage,percentage,percentage,percentage,percentage,percentage
group,community,team,community,community,team,investors,public,team
emission,unlock,unlock,unlock,unlock,unlock,unlock,unlock,unlock
allocation,20,10,15,10,25,10,2,8.00
t000,0,0,1.5,0,8.5,0,2,0.00
t001,0,0,1.5,0,8.5,0,2,0.00
t002,0,0,1.5,0,8.5,0,2,0.00
t003,0,0,1.5,0,8.5,0,2,0.00
t004,0,0,1.5,0,8.5,0,2,0.00
t005,0,0,1.5,0,8.5,0,2,0.00
t006,0,0,1.5,0,8.5,0,2,0.00
t007,0,0,1.5,0,8.5,0,2,0.00
t008,0,0,1.5,0,8.5,0,2,0.00
t009,0,0,1.5,0,8.5,0,2,0.00
t010,0,0,1.5,0,8.5,0,2,0.00
t011,0,0,1.5,0,8.5,0,2,0.00
t012,0,0,1.5,0,8.5,0,2,0.00
t013,0,0,1.5,0,8.5,0,2,0.00
t014,0,0,1.5,0,8.5,0,2,0.00
t015,0,0,1.5,0,8.5,0,2,0.00
t016,0,0,1.5,0,8.5,0,2,0.00
t017,0,0,1.5,0,8.5,0,2,0.00
t018,0,0,1.5,0,8.5,0,2,0.00
t019,0,0,1.5,0,8.5,0,2,0.00
t020,0,0,1.5,0,8.5,0,2,0.00
t021,0,0,1.5,0,8.5,0,2,0.00
t022,0,0,1.5,0,8.5,0,2,0.00
t023,0,0,1.5,0,8.5,0,2,0.00
t024,0,0,1.5,0,8.5,0,2,0.00
t025,0,0,1.5,0,8.5,0,2,0.00
t026,0,0,1.5,0,8.5,0,2,0.00
t027,0,0,1.5,0,8.5,0,2,0.00
t028,0,0,1.5,0,8.5,0,2,0.00
t029,0,0,1.5,0,8.5,0,2,0.00
t030,0,0,1.5,0,8.5,0,2,0.00
t031,0,0,1.5,0,8.5,0,2,0.00
t032,0,0,1.5,0,8.5,0,2,0.00
t033,0,0,1.5,0,8.5,0,2,0.00
t034,0,0,1.5,0,8.5,0,2,0.00
t035,0,0,1.5,0,8.5,0,2,0.00
t036,0,0,1.5,0,8.5,0,2,0.00
t037,0,0,1.5,0,8.5,0,2,0.00
t038,0,0,1.5,0,8.5,0,2,0.00
t039,0,0,1.5,0,8.5,0,2,0.00
t040,0,0,1.5,0,8.5,0,2,0.00
t041,0,0,1.5,0,8.5,0,2,0.00
t042,0,0,1.5,0,8.5,0,2,0.00
t043,0,0,1.5,0,8.5,0,2,0.00
t044,0,0,1.5,0,8.5,0,2,0.00
t045,0,0,1.5,0,8.5,0,2,0.00
t046,0,0,1.5,0,8.5,0,2,0.00
t047,0,0,1.5,0,8.5,0,2,0.00
t048,0,0,1.5,0,8.5,0,2,0.00
t049,0,0,1.5,0,8.5,0,2,0.00
t050,0,0,1.5,0,8.5,0,2,0.00
t051,0,0,1.5,0,8.5,0,2,0.00
t052,0,0,1.5,0,8.5,0,2,0.00
t053,0,0,1.5,0,8.5,0,2,0.00
t054,0,0,1.5,0,8.5,0,2,0.00
t055,0,0,1.5,0,8.5,0,2,0.00
t056,0,0,1.5,0,8.5,0,2,0.00
t057,0,0,1.5,0,8.5,0,2,0.00
t058,0,0,1.5,0,8.5,0,2,0.00
t059,0,0,1.5,0,8.5,0,2,0.00
t060,0,0,1.5,0,8.5,0,2,0.00
t061,0,0,1.5,0,8.5,0,2,0.00
t062,0,0,1.5,0,8.5,0,2,0.00
