DATA,,,,,,
key,data,,,,,
token_name,Star Atlas (governance token),,,,,
token_symbol,POLIS,,,,,
start_date,01/09/2021,,,,,
start_tokens,360000000,,,,,
emission_schedule,30D,,,,,
emission_type,linear_unlock,,,,,
emission_incentive,staking,,,,,
DISTRIBUTION,,,,,,
entity,private sale,presale,public token sale,listings / liquidity pools,rewards / emissions,team
type,percentage,percentage,percentage,percentage,percentage,percentage
group,investors,investors,public,community,rewards,team
emission,unlock,unlock,unlock,unlock,staking,unlock
allocation,22.50,1.50,2.00,4.00,40.00,30.00
t000,1.13,0.08,2.00,4.00,0.00,0.00
t001,2.02,0.13,2.00,4.00,0.42,1.25
t002,2.91,0.19,2.00,4.00,0.83,2.50
t003,3.80,0.25,2.00,4.00,1.25,3.75
t004,4.69,0.31,2.00,4.00,1.67,5.00
t005,5.58,0.37,2.00,4.00,2.08,6.25
t006,6.47,0.43,2.00,4.00,2.50,7.50
t007,7.36,0.49,2.00,4.00,2.92,8.75
t008,8.25,0.55,2.00,4.00,3.33,10.00
t009,9.14,0.61,2.00,4.00,3.75,11.25
t010,10.03,0.67,2.00,4.00,4.17,12.50
t011,10.92,0.73,2.00,4.00,4.58,13.75
t012,11.81,0.79,2.00,4.00,5.00,15.00
t013,12.70,0.85,2.00,4.00,5.42,16.25
t014,13.59,0.91,2.00,4.00,5.83,17.50
t015,14.48,0.97,2.00,4.00,6.25,18.75
t016,15.38,1.03,2.00,4.00,6.67,20.00
t017,16.27,1.08,2.00,4.00,7.08,21.25
t018,17.16,1.14,2.00,4.00,7.50,22.50
t019,18.05,1.20,2.00,4.00,7.92,23.75
t020,18.94,1.26,2.00,4.00,8.33,25.00
t021,19.83,1.32,2.00,4.00,8.75,26.25
t022,20.72,1.38,2.00,4.00,9.17,27.50
t023,21.61,1.44,2.00,4.00,9.58,28.75
t024,22.50,1.50,2.00,4.00,10.00,30.00
t025,22.50,1.50,2.00,4.00,10.42,30.00
t026,22.50,1.50,2.00,4.00,10.83,30.00
t027,22.50,1.50,2.00,4.00,11.25,30.00
t028,22.50,1.50,2.00,4.00,11.67,30.00
t029,22.50,1.50,2.00,4.00,12.08,30.00
t030,22.50,1.50,2.00,4.00,12.50,30.00
t031,22.50,1.50,2.00,4.00,12.92,30.00
t032,22.50,1.50,2.00,4.00,13.33,30.00
t033,22.50,1.50,2.00,4.00,13.75,30.00
t034,22.50,1.50,2.00,4.00,14.17,30.00
t035,22.50,1.50,2.00,4.00,14.58,30.00
t036,22.50,1.50,2.00,4.00,15.00,30.00
t037,22.50,1.50,2.00,4.00,15.42,30.00
t038,22.50,1.50,2.00,4.00,15.83,30.00
t039,22.50,1.50,2.00,4.00,16.25,30.00
t040,22.50,1.50,2.00,4.00,16.67,30.00
t041,22.50,1.50,2.00,4.00,17.08,30.00
t042,22.50,1.50,2.00,4.00,17.50,30.00
t043,22.50,1.50,2.00,4.00,17.92,30.00
t044,22.50,1.50,2.00,4.00,18.33,30.00
t045,22.50,1.50,2.00,4.00,18.75,30.00
t046,22.50,1.50,2.00,4.00,19.17,30.00
t047,22.50,1.50,2.00,4.00,19.58,30.00
t048,22.50,1.50,2.00,4.00,20.00,30.00
t049,22.50,1.50,2.00,4.00,20.42,30.00
t050,22.50,1.50,2.00,4.00,20.83,30.00
t051,22.50,1.50,2.00,4.00,21.25,30.00
t052,22.50,1.50,2.00,4.00,21.67,30.00
t053,22.50,1.50,2.00,4.00,22.08,30.00
t054,22.50,1.50,2.00,4.00,22.50,30.00
t055,22.50,1.50,2.00,4.00,22.92,30.00
t056,22.50,1.50,2.00,4.00,23.33,30.00
t057,22.50,1.50,2.00,4.00,23.75,30.00
t058,22.50,1.50,2.00,4.00,24.17,30.00
t059,22.50,1.50,2.00,4.00,24.58,30.00
t060,22.50,1.50,2.00,4.00,25.00,30.00
t061,22.50,1.50,2.00,4.00,25.42,30.00
t062,22.50,1.50,2.00,4.00,25.83,30.00
t063,22.50,1.50,2.00,4.00,26.25,30.00
t064,22.50,1.50,2.00,4.00,26.67,30.00
t065,22.50,1.50,2.00,4.00,27.08,30.00
t066,22.50,1.50,2.00,4.00,27.50,30.00
t067,22.50,1.50,2.00,4.00,27.92,30.00
t068,22.50,1.50,2.00,4.00,28.33,30.00
t069,22.50,1.50,2.00,4.00,28.75,30.00
t070,22.50,1.50,2.00,4.00,29.17,30.00
t071,22.50,1.50,2.00,4.00,29.58,30.00
t072,22.50,1.50,2.00,4.00,30.00,30.00
t073,22.50,1.50,2.00,4.00,30.42,30.00
t074,22.50,1.50,2.00,4.00,30.83,30.00
t075,22.50,1.50,2.00,4.00,31.25,30.00
