date,private sale,public sale,team,reserve,founder,insiders,non-insiders
01/07/2019,71119424.25,0,1055184.336,0,0,72174608.59,0
01/08/2019,71119424.25,0,2110368.672,0,0,73229792.92,0
01/09/2019,71119424.25,0,3165553.008,0,0,74284977.26,0
01/10/2019,71119424.25,0,4220737.344,0,0,75340161.59,0
01/11/2019,71119424.25,0,5275921.68,0,0,76395345.93,0
01/12/2019,71119424.25,0,6331106.016,0,0,77450530.27,0
01/01/2020,71119424.25,34399009.35,7386290.352,0,0,78505714.6,34399009.35
01/02/2020,71119424.25,34399009.35,8441474.688,0,0,79560898.94,34399009.35
01/03/2020,71119424.25,34399009.35,9496659.024,0,0,80616083.27,34399009.35
01/04/2020,71119424.25,34399009.35,10551843.36,0,0,81671267.61,34399009.35
01/05/2020,71119424.25,34399009.35,11607027.7,2110368.672,0,84836820.62,34399009.35
01/06/2020,71119424.25,34399009.35,12662212.03,4220737.344,0,88002373.62,34399009.35
01/07/2020,71119424.25,34399009.35,13717396.37,6331106.016,17568819.19,108736745.8,34399009.35
01/08/2020,71119424.25,34399009.35,14772580.7,8441474.688,17568819.19,111902298.8,34399009.35
01/09/2020,71119424.25,34399009.35,15827765.04,10551843.36,17568819.19,115067851.8,34399009.35
01/10/2020,71119424.25,34399009.35,16882949.38,12662212.03,17568819.19,118233404.9,34399009.35
01/11/2020,71119424.25,34399009.35,17938133.71,14772580.7,17568819.19,121398957.9,34399009.35
01/12/2020,71119424.25,34399009.35,18993318.05,16882949.38,17568819.19,124564510.9,34399009.35
01/01/2021,71119424.25,34399009.35,20048502.38,18993318.05,17568819.19,127730063.9,34399009.35
01/02/2021,71119424.25,34399009.35,21103686.72,21103686.72,17568819.19,130895616.9,34399009.35
01/03/2021,71119424.25,34399009.35,22158871.06,23214055.39,17568819.19,134061169.9,34399009.35
01/04/2021,71119424.25,34399009.35,23214055.39,25324424.06,17568819.19,137226722.9,34399009.35
01/05/2021,71119424.25,34399009.35,24269239.73,27434792.74,17568819.19,140392275.9,34399009.35
01/06/2021,71119424.25,34399009.35,25324424.06,29545161.41,17568819.19,143557828.9,34399009.35
01/07/2021,71119424.25,34399009.35,26379608.4,31655530.08,35190397.61,164344960.3,34399009.35
01/08/2021,71119424.25,34399009.35,27434792.74,33765898.75,35190397.61,167510513.4,34399009.35
01/09/2021,71119424.25,34399009.35,28489977.07,35876267.42,35190397.61,170676066.4,34399009.35
01/10/2021,71119424.25,34399009.35,29545161.41,37986636.1,35190397.61,173841619.4,34399009.35
01/11/2021,71119424.25,34399009.35,30600345.74,40097004.77,35190397.61,177007172.4,34399009.35
01/12/2021,71119424.25,34399009.35,31655530.08,42207373.44,35190397.61,180172725.4,34399009.35
01/01/2022,71119424.25,34399009.35,32710714.42,44317742.11,35190397.61,183338278.4,34399009.35
01/02/2022,71119424.25,34399009.35,33765898.75,46428110.78,35190397.61,186503831.4,34399009.35
01/03/2022,71119424.25,34399009.35,34821083.09,48538479.46,35190397.61,189669384.4,34399009.35
01/04/2022,71119424.25,34399009.35,35876267.42,50648848.13,35190397.61,192834937.4,34399009.35
01/05/2022,71119424.25,34399009.35,36931451.76,52759216.8,35190397.61,196000490.4,34399009.35
01/06/2022,71119424.25,34399009.35,37986636.1,54869585.47,35190397.61,199166043.4,34399009.35
01/07/2022,71119424.25,34399009.35,39041820.43,56979954.14,52759216.8,219900415.6,34399009.35
